
#77.0078
#Les Etablissements BRUN ont été autorisés par arrêté préfectoral (n° 72 DAGR 2EC 80 en date du 27 avril 1972 rectifié le 17 mai 1972) à exploiter un atelier où l’on travaille le bois comportant un stock de bois de plus de 75 m3, et ont déclaré la cessation de leur activités le 6 juin 2000.
1	Les	DET:ART	BI	_
2	Etablissements	NOM	II	_
3	BRUN	ADJ	EI	_
4	ont	VER:pres	O	_
5	été	VER:pper	O	_
6	autorisés	VER:pper	O	_
7	par	PRP	O	_
8	arrêté	NOM	O	_
9	préfectoral	ADJ	O	_
10	(	PUN	O	_
11	n	VER:simp	O	_
12	°	NOM	O	_
13	72	NUM	O	_
14	DAGR	NAM	O	_
15	2EC	NAM	O	_
16	80	NUM	O	_
17	en	PRP	O	_
18	date	NOM	O	_
19	du	PRP:det	O	_
20	27	NUM	O	_
21	avril	NOM	O	_
22	1972	NUM	O	_
23	rectifié	VER:pper	O	_
24	le	DET:ART	O	_
25	17	NUM	O	_
26	mai	NOM	O	_
27	1972	NUM	O	_
28	)	PUN	O	_
29	à	PRP	O	_
30	exploiter	VER:infi	O	_
31	un	DET:ART	O	_
32	atelier	NOM	O	_
33	où	PRO:REL	O	_
34	l’on	NOM	O	_
35	travaille	VER:pres	O	_
36	le	DET:ART	O	_
37	bois	NOM	O	_
38	comportant	VER:ppre	O	_
39	un	DET:ART	O	_
40	stock	NOM	O	_
41	de	PRP	O	_
42	bois	NOM	O	_
43	de	PRP	O	_
44	plus	ADV	O	_
45	de	PRP	O	_
46	75	NUM	O	_
47	m3	NOM	O	_
48	,	PUN	O	_
49	et	KON	O	_
50	ont	VER:pres	O	_
51	déclaré	VER:pper	O	_
52	la	DET:ART	O	_
53	cessation	NOM	O	_
54	de	PRP	O	_
55	leur	DET:POS	O	_
56	activités	NOM	O	_
57	le	DET:ART	O	_
58	6	NUM	O	_
59	juin	NOM	O	_
60	2000.	ADJ	O	_


#Ce site, d'environ 12 000 m², compris entre l’avenue de Sens et la route de l’Orvanne comportait une dizaine de hangars permettant le séchage des bois.
1	Ce	PRO:DEM	O	_
2	site	NOM	O	_
3	,	PUN	O	_
4	d'	PRP	O	_
5	environ	ADV	O	_
6	12	NUM	O	_
7	000	NUM	O	_
8	m²	NOM	O	_
9	,	PUN	O	_
10	compris	VER:pper	O	_
11	entre	PRP	O	_
12	l’avenue	NOM	O	_
13	de	PRP	O	_
14	Sens	NAM	O	_
15	et	KON	O	_
16	la	DET:ART	O	_
17	route	NOM	O	_
18	de	PRP	O	_
19	l’Orvanne	NOM	O	_
20	comportait	VER:impf	O	_
21	une	DET:ART	O	_
22	dizaine	NOM	O	_
23	de	PRP	O	_
24	hangars	NOM	O	_
25	permettant	VER:ppre	O	_
26	le	DET:ART	O	_
27	séchage	NOM	O	_
28	des	PRP:det	O	_
29	bois	NOM	O	_
30	.	SENT	O	_


#Cet établissement se livrait principalement aux activités de négoce et de vente au détail du bois.
1	Cet	PRO:DEM	O	_
2	établissement	NOM	O	_
3	se	PRO:PER	O	_
4	livrait	VER:impf	O	_
5	principalement	ADV	O	_
6	aux	PRP:det	O	_
7	activités	NOM	O	_
8	de	PRP	O	_
9	négoce	NOM	O	_
10	et	KON	O	_
11	de	PRP	O	_
12	vente	NOM	O	_
13	au	PRP:det	O	_
14	détail	NOM	O	_
15	du	PRP:det	O	_
16	bois	NOM	O	_
17	.	SENT	O	_


#Au regard des éléments portés dans le dossier, la seule activité susceptible de générer des pollutions était le petit tunnel de charpentier permettant de procéder à un traitement du bois.
1	Au	PRP:det	O	_
2	regard	NOM	O	_
3	des	PRP:det	O	_
4	éléments	NOM	O	_
5	portés	VER:pper	O	_
6	dans	PRP	O	_
7	le	DET:ART	O	_
8	dossier	NOM	O	_
9	,	PUN	O	_
10	la	DET:ART	O	_
11	seule	ADJ	O	_
12	activité	NOM	O	_
13	susceptible	ADJ	O	_
14	de	PRP	O	_
15	générer	VER:infi	O	_
16	des	PRP:det	O	_
17	pollutions	NOM	O	_
18	était	VER:impf	O	_
19	le	DET:ART	O	_
20	petit	ADJ	O	_
21	tunnel	NOM	O	_
22	de	PRP	O	_
23	charpentier	NOM	O	_
24	permettant	VER:ppre	O	_
25	de	PRP	O	_
26	procéder	VER:infi	O	_
27	à	PRP	O	_
28	un	DET:ART	O	_
29	traitement	NOM	O	_
30	du	PRP:det	O	_
31	bois	NOM	O	_
32	.	SENT	O	_


#Cette zone comprenait un système d’aspersion de Xylophène sur les poutres de bois à traiter.
1	Cette	PRO:DEM	O	_
2	zone	NOM	O	_
3	comprenait	VER:impf	O	_
4	un	DET:ART	O	_
5	système	NOM	O	_
6	d’aspersion	NOM	O	_
7	de	PRP	O	_
8	Xylophène	NOM	BS	_
9	sur	PRP	O	_
10	les	DET:ART	O	_
11	poutres	NOM	O	_
12	de	PRP	O	_
13	bois	NOM	O	_
14	à	PRP	O	_
15	traiter	VER:infi	O	_
16	.	SENT	O	_


#L’atelier de traitement a fonctionné de 1960 à 1977.
1	L’atelier	NOM	O	_
2	de	PRP	O	_
3	traitement	NOM	O	_
4	a	VER:pres	O	_
5	fonctionné	VER:pper	O	_
6	de	PRP	O	_
7	1960	NUM	O	_
8	à	PRP	O	_
9	1977.	NAM	O	_


#Le xylophène, appelé SGR-6, était constitué, d’après le fabriquant (Xylochimie) de pentachlorophénol (PCP), de lindane et de fioul.
1	Le	DET:ART	BS	_
2	xylophène	NOM	ES	_
3	,	PUN	O	_
4	appelé	VER:pper	BR	_
5	SGR-6	NAM	BS	_
6	,	PUN	O	_
7	était	VER:impf	BR	_
8	constitué	VER:pper	ER	_
9	,	PUN	O	_
10	d’après	ADJ	O	_
11	le	PRO:PER	O	_
12	fabriquant	VER:ppre	O	_
13	(	PUN	O	_
14	Xylochimie	NOM	O	_
15	)	PUN	O	_
16	de	PRP	O	_
17	pentachlorophénol	NOM	BS	_
18	(	PUN	O	_
19	PCP	NAM	BS	_
20	)	PUN	O	_
21	,	PUN	O	_
22	de	PRP	O	_
23	lindane	NOM	BS	_
24	et	KON	O	_
25	de	PRP	O	_
26	fioul	NOM	BS	_
27	.	SENT	O	_


#Le tunnel fonctionnait avec un bac récupérateur sur une dalle béton de  64 m².
1	Le	DET:ART	O	_
2	tunnel	NOM	O	_
3	fonctionnait	VER:impf	O	_
4	avec	PRP	O	_
5	un	DET:ART	O	_
6	bac	NOM	O	_
7	récupérateur	ADJ	O	_
8	sur	PRP	O	_
9	une	DET:ART	O	_
10	dalle	NOM	O	_
11	béton	NOM	O	_
12	de	PRP	O	_
13	64	NUM	O	_
14	m²	NOM	O	_
15	.	SENT	O	_


#Ce terrain se situerait à moins de 500m de l'Orvanne et d’1 km du Loing, et à proximité de commerces et de résidences privées.
1	Ce	PRO:DEM	O	_
2	terrain	NOM	O	_
3	se	PRO:PER	O	_
4	situerait	VER:cond	O	_
5	à	PRP	O	_
6	moins	ADV	O	_
7	de	PRP	O	_
8	500m	NOM	O	_
9	de	PRP	O	_
10	l'	DET:ART	O	_
11	Orvanne	NAM	O	_
12	et	KON	O	_
13	d’1	ABR	O	_
14	km	ABR	O	_
15	du	PRP:det	O	_
16	Loing	NAM	O	_
17	,	PUN	O	_
18	et	KON	O	_
19	à	PRP	O	_
20	proximité	NOM	O	_
21	de	PRP	O	_
22	commerces	NOM	O	_
23	et	KON	O	_
24	de	PRP	O	_
25	résidences	NOM	O	_
26	privées	ADJ	O	_
27	.	SENT	O	_


#Le site repose sur les alluvions du Loing, essentiellement constitués de sables plus ou moins argileux.
1	Le	DET:ART	O	_
2	site	NOM	O	_
3	repose	VER:pres	O	_
4	sur	PRP	O	_
5	les	DET:ART	O	_
6	alluvions	NOM	O	_
7	du	PRP:det	O	_
8	Loing	NAM	O	_
9	,	PUN	O	_
10	essentiellement	ADV	O	_
11	constitués	VER:pper	O	_
12	de	PRP	O	_
13	sables	NOM	O	_
14	plus	ADV	O	_
15	ou	KON	O	_
16	moins	ADV	O	_
17	argileux	ADJ	O	_
18	.	SENT	O	_


#La nappe phréatique, en relation hydraulique étroite avec le Loing, est attendue à de faible profondeur 4 à 5 mètres.
1	La	DET:ART	O	_
2	nappe	NOM	O	_
3	phréatique	ADJ	O	_
4	,	PUN	O	_
5	en	PRP	O	_
6	relation	NOM	O	_
7	hydraulique	ADJ	O	_
8	étroite	ADJ	O	_
9	avec	PRP	O	_
10	le	DET:ART	O	_
11	Loing	NAM	O	_
12	,	PUN	O	_
13	est	VER:pres	O	_
14	attendue	VER:pper	O	_
15	à	PRP	O	_
16	de	PRP	O	_
17	faible	ADJ	O	_
18	profondeur	NOM	O	_
19	4	NUM	O	_
20	à	PRP	O	_
21	5	NUM	O	_
22	mètres	NOM	O	_
23	.	SENT	O	_


#Des investigations de terrains constitués d'une campagne de prélèvements de sol jusqu'à 2 m à la pelle mécanique ont mis en exegue, dès octobre 2000, la présence d'hydrocarbures (6300 mg/kg) et de pentachlorophénol(260 mg/kg) au delà des seuils de VCI usage sensible respectivement (5000 mg/kg et 100 mg/kg).
1	Des	PRP:det	O	_
2	investigations	NOM	O	_
3	de	PRP	O	_
4	terrains	NOM	O	_
5	constitués	VER:pper	O	_
6	d'	PRP	O	_
7	une	DET:ART	O	_
8	campagne	NOM	O	_
9	de	PRP	O	_
10	prélèvements	NOM	O	_
11	de	PRP	O	_
12	sol	NOM	O	_
13	jusqu'	PRP	O	_
14	à	PRP	O	_
15	2	NUM	O	_
16	m	NOM	O	_
17	à	PRP	O	_
18	la	DET:ART	O	_
19	pelle	NOM	O	_
20	mécanique	ADJ	O	_
21	ont	VER:pres	O	_
22	mis	VER:pper	O	_
23	en	PRP	O	_
24	exegue	NOM	O	_
25	,	PUN	O	_
26	dès	PRP	O	_
27	octobre	NOM	O	_
28	2000	NUM	O	_
29	,	PUN	O	_
30	la	DET:ART	O	_
31	présence	NOM	O	_
32	d'	PRP	O	_
33	hydrocarbures	NOM	BS	_
