1	▁Les	BO	_
2	▁	BO	_
3	Etablissement	IO	_
4	s	IO	_
5	▁BRU	EO	_
6	N	EO	_
7	▁ont	BN	_
8	▁été	IN	_
9	▁autorisés	IN	_
10	▁par	EN	_
11	▁arrêté	BO	_
12	▁préfectoral	EO	_
13	▁(	O	_
14	n	O	_
15	°	O	_
16	▁72	O	_
17	▁DA	O	_
18	GR	O	_
19	▁2	O	_
20	EC	O	_
21	▁80	O	_
22	▁en	BT	_
23	▁date	IT	_
24	▁du	IT	_
25	▁27	IT	_
26	▁avril	IT	_
27	▁1972	ET	_
28	▁rectifié	O	_
29	▁le	BT	_
30	▁17	IT	_
31	▁mai	IT	_
32	▁1972	ET	_
33	)	O	_
34	▁à	O	_
35	▁exploiter	BN	_
36	▁un	BO	_
37	▁atelier	EO	_
38	▁où	BR	_
39	▁l	O	_
40	’	O	_
41	on	O	_
42	▁travaille	BA	_
43	▁le	IA	_
44	▁bois	EA	_
45	▁comportant	O	_
46	▁un	O	_
47	▁stock	O	_
48	▁de	O	_
49	▁bois	O	_
50	▁de	O	_
51	▁plus	O	_
52	▁de	O	_
53	▁75	O	_
54	▁m	O	_
55	3,	O	_
56	▁et	BR	_
57	▁ont	BN	_
58	▁déclaré	IN	_
59	▁la	IN	_
60	▁cessation	IN	_
61	▁de	IN	_
62	▁leur	IN	_
63	▁activités	EN	_
64	▁le	BT	_
65	▁6	IT	_
66	▁juin	IT	_
67	▁2000.	ET	_


1	▁Ce	BO	_
2	▁site	EO	_
3	,	O	_
4	▁d	O	_
5	'	O	_
6	environ	O	_
7	▁12	O	_
8	▁000	O	_
9	▁m	O	_
10	2,	BR	_
11	▁compris	BR	_
12	▁entre	ER	_
13	▁l	BL	_
14	’	BL	_
15	avenue	BL	_
16	▁de	IL	_
17	▁Sens	IL	_
18	▁et	IL	_
19	▁la	IL	_
20	▁route	IL	_
21	▁de	EL	_
22	▁l	EL	_
23	’	EL	_
24	Or	EL	_
25	van	EL	_
26	ne	BR	_
27	▁comportait	BR	_
28	▁une	IO	_
29	▁dizaine	IO	_
30	▁de	EO	_
31	▁hangar	EO	_
32	s	BR	_
33	▁permettant	BR	_
34	▁le	IA	_
35	▁séchage	IA	_
36	▁des	EA	_
37	▁bois	EA	_
38	.	O	_


1	▁Cet	BO	_
2	▁établissement	EO	_
3	▁se	BR	_
4	▁livra	IR	_
5	it	IR	_
6	▁principalement	IR	_
7	▁aux	ER	_
8	▁activités	BA	_
9	▁de	IA	_
10	▁négoce	IA	_
11	▁et	IA	_
12	▁de	IA	_
13	▁vente	IA	_
14	▁au	IA	_
15	▁détail	IA	_
16	▁du	IA	_
17	▁bois	EA	_
18	.	O	_


1	▁Au	O	_
2	▁regard	O	_
3	▁des	O	_
4	▁éléments	O	_
5	▁portés	O	_
6	▁dans	O	_
7	▁le	O	_
8	▁dossier	O	_
9	,	O	_
10	▁la	BO	_
11	▁seule	IO	_
12	▁activité	EO	_
13	▁susceptible	BR	_
14	▁de	ER	_
15	▁générer	BA	_
16	▁des	IA	_
17	▁pollution	EA	_
18	s	EA	_
19	▁était	O	_
20	▁le	BO	_
21	▁petit	IO	_
22	▁tunnel	IO	_
23	▁de	IO	_
24	▁ch	EO	_
25	arpent	EO	_
26	ier	EO	_
27	▁permettant	BR	_
28	▁de	O	_
29	▁procéder	O	_
30	▁à	O	_
31	▁un	BA	_
32	▁traitement	IA	_
33	▁du	IA	_
34	▁bois	EA	_
35	.	O	_


1	▁Cette	BO	_
2	▁zone	EO	_
3	▁comprenait	BR	_
4	▁un	BO	_
5	▁système	EO	_
6	▁d	BA	_
7	’	BA	_
8	asp	BA	_
9	er	BA	_
10	sion	BA	_
11	▁de	IA	_
12	▁X	IA	_
13	yl	IA	_
14	oph	IA	_
15	ène	IA	_
16	▁sur	IA	_
17	▁les	IA	_
18	▁poutre	IA	_
19	s	IA	_
20	▁de	IA	_
21	▁bois	IA	_
22	▁à	IA	_
23	▁traiter	EA	_
24	.	O	_


1	▁L	BO	_
2	’	BO	_
3	atelier	IO	_
4	▁de	IO	_
5	▁traitement	EO	_
6	▁a	BA	_
7	▁fonctionné	EA	_
8	▁de	BT	_
9	▁1960	IT	_
10	▁à	IT	_
11	▁1977	ET	_
12	.	ET	_


1	▁Le	O	_
2	▁x	O	_
3	yl	O	_
4	oph	O	_
5	ène	O	_
6	,	O	_
7	▁appelé	O	_
8	▁S	O	_
9	GR	O	_
10	-6	O	_
11	,	O	_
12	▁était	O	_
13	▁constitué	O	_
14	,	O	_
15	▁d	O	_
16	’	O	_
17	après	O	_
18	▁le	O	_
19	▁fabriqu	O	_
20	ant	O	_
21	▁(	O	_
22	X	O	_
23	y	O	_
24	lo	O	_
25	chimie	O	_
26	)	O	_
27	▁de	O	_
28	▁p	O	_
29	ent	O	_
30	ach	O	_
31	lor	O	_
32	o	O	_
33	phén	O	_
34	ol	O	_
35	▁(	O	_
36	P	O	_
37	CP	O	_
38	),	O	_
39	▁de	O	_
40	▁l	O	_
41	ind	O	_
42	ane	O	_
43	▁et	O	_
44	▁de	O	_
45	▁fioul	O	_
46	.	O	_


1	▁Le	O	_
2	▁tunnel	O	_
3	▁fonction	O	_
4	nait	O	_
5	▁avec	O	_
6	▁un	O	_
7	▁bac	O	_
8	▁récup	O	_
9	érateur	O	_
10	▁sur	O	_
11	▁une	O	_
12	▁dalle	O	_
13	▁béton	O	_
14	▁de	O	_
15	▁64	O	_
16	▁m	O	_
17	2.	O	_


1	▁Ce	BO	_
2	▁terrain	EO	_
3	▁se	BL	_
4	▁situe	IL	_
5	rait	IL	_
6	▁à	IL	_
7	▁moins	IL	_
8	▁de	IL	_
9	▁500	IL	_
10	m	IL	_
11	▁de	IL	_
12	▁l	IL	_
13	'	IL	_
14	Or	IL	_
15	van	IL	_
16	ne	IL	_
