
#68.0023
#Dépôt entre 1959 et 1969 de résidus miniers issus de l'exploitation de la potasse.
1	Dépôt	dépôt	NOUN	BN	O	1	ROOT
2	entre	entre	ADP	BT	O	3	case
3	1959	1959	NUM	IT	O	1	nmod
4	et	et	CCONJ	IT	O	5	cc
5	1969	1969	NUM	ET	O	3	conj
6	de	de	ADP	O	O	7	case
7	résidus	résidu	NOUN	BO	O	1	nmod
8	miniers	minier	ADJ	EO	O	7	amod
9	issus	issu	ADJ	BR	O	7	amod
10	de	de	ADP	ER	O	12	case
11	l'	le	DET	BN	O	12	det
12	exploitation	exploitation	NOUN	BA	O	9	obl:arg
13	de	de	ADP	IA	O	15	case
14	la	le	DET	IA	O	15	det
15	potasse	potasse	NOUN	EA	O	12	nmod
16	.	.	PUNCT	O	O	1	punct


#Le terril Joseph Else Est a été constitué entre 1959 et 1969 par les matériaux issus de l'exploitation du sel gemme, composés de chlorure de sodium (NaCl) et d'insolubles (mélange d'argiles et d’une fraction dure et dense constituée d’anhydrite (sulfate de calcium CaSO4) et de dolomie (carbonates de calcium et de magnésium)).
1	Le	le	DET	O	O	2	det
2	terril	terril	NOUN	O	O	8	nsubj:pass
3	Joseph	Joseph	PROPN	O	O	2	appos
4	Else	Else	PROPN	IO	O	3	flat:name
5	Est	Est	PROPN	EO	O	3	flat:name
6	a	avoir	AUX	BN	O	8	aux:tense
7	été	être	AUX	IN	O	8	aux:pass
8	constitué	constituer	VERB	EN	O	8	ROOT
9	entre	entre	ADP	BT	O	10	case
10	1959	1959	NUM	IT	O	8	obl:mod
11	et	et	CCONJ	IT	O	12	cc
12	1969	1969	NUM	ET	O	10	conj
13	par	par	ADP	O	O	15	case
14	les	le	DET	BO	O	15	det
15	matériaux	matériau	NOUN	EO	O	8	obl:agent
16	issus	issu	ADJ	O	O	15	amod
17	de	de	ADP	O	O	19	case
18	l'	le	DET	BN	O	19	det
19	exploitation	exploitation	NOUN	EN	O	16	obl:arg
20	du	de	ADP	O	O	21	case
21	sel	sel	NOUN	O	BU	19	nmod
22	gemme	gemme	ADJ	O	EU	21	amod
23	,	,	PUNCT	O	O	21	punct
24	composés	composer	VERB	O	O	21	acl
25	de	de	ADP	O	O	26	case
26	chlorure	chlorure	NOUN	O	BS	24	obl:arg
27	de	de	ADP	O	O	28	case
28	sodium	sodium	NOUN	O	BS	26	nmod
29	(	(	PUNCT	O	O	28	punct
30	NaCl	nacl	NOUN	O	BS	28	appos
31	)	)	PUNCT	O	O	28	punct
32	et	et	CCONJ	O	O	34	cc
33	d'	de	ADP	O	O	34	case
34	insolubles	insoluble	NOUN	O	O	26	conj
35	(	(	PUNCT	O	O	34	punct
36	mélange	mélange	NOUN	O	O	34	appos
37	d'	de	ADP	O	O	38	case
38	argiles	argile	NOUN	O	O	36	nmod
39	et	et	CCONJ	O	O	42	cc
40	d’	d’	ADP	O	O	42	case
41	une	un	DET	O	O	42	det
42	fraction	fraction	NOUN	O	O	36	conj
43	dure	dur	ADJ	O	O	42	amod
44	et	et	CCONJ	O	O	45	cc
45	dense	dense	ADJ	O	O	43	conj
46	constituée	constituer	VERB	O	O	42	acl
47	d’	d’	ADP	O	O	48	case
48	anhydrite	anhydrite	NOUN	O	BS	46	obl:agent
49	(	(	PUNCT	O	O	48	punct
50	sulfate	sulfate	NOUN	O	BS	48	appos
51	de	de	ADP	O	O	52	case
52	calcium	calcium	NOUN	O	BS	50	nmod
53	CaSO4	caso4	NOUN	O	BS	52	nmod
54	)	)	PUNCT	O	BS	48	punct
55	et	et	CCONJ	O	O	57	cc
56	de	de	ADP	O	O	57	case
57	dolomie	dolomie	NOUN	O	O	48	conj
58	(	(	PUNCT	O	O	57	punct
59	carbonates	carbonate	NOUN	O	BS	57	appos
60	de	de	ADP	O	O	61	case
61	calcium	calcium	NOUN	O	BS	59	nmod
62	et	et	CCONJ	O	O	64	cc
63	de	de	ADP	O	O	64	case
64	magnésium	magnésium	NOUN	O	BS	61	conj
65	)	)	PUNCT	O	O	57	punct
66	)	)	PUNCT	O	O	34	punct
67	.	.	PUNCT	O	O	8	punct


#Au total 2 100 000 tonnes de matériaux ont été déposés dont 1 100 000 tonnes de NaCl.
1	Au	au	ADP	O	O	2	case
2	total	total	NOUN	O	O	11	obl:mod
3	2	2	NUM	O	O	11	punct
4	100	100	DET	BO	O	6	det
5	000	000	DET	IO	O	6	det
6	tonnes	tonne	NOUN	IO	O	11	nsubj:pass
7	de	de	ADP	IO	O	8	case
8	matériaux	matériau	NOUN	EO	O	6	nmod
9	ont	avoir	AUX	BN	O	11	aux:tense
10	été	être	AUX	IN	O	11	aux:pass
11	déposés	déposer	VERB	EN	O	11	ROOT
12	dont	dont	PRON	O	O	16	nmod
13	1	1	DET	O	O	16	det
14	100	100	DET	O	O	16	det
15	000	000	DET	O	O	16	det
16	tonnes	tonne	NOUN	O	O	11	obl:arg
17	de	de	ADP	O	O	18	case
18	NaCl	nacl	NOUN	O	BS	16	nmod
19	.	.	PUNCT	O	O	11	punct


#Sans traitement des terrils, l’eau de pluie ruisselle sur les flancs du terril et s’infiltre dans la masse du terril.
1	Sans	sans	ADP	O	O	2	case
2	traitement	traitement	NOUN	O	O	10	obl:mod
3	des	de	ADP	O	O	4	case
4	terrils	terril	NOUN	O	O	2	nmod
5	,	,	PUNCT	O	O	10	punct
6	l’	l’	DET	O	O	7	det
7	eau	eau	NOUN	O	O	10	nsubj
8	de	de	ADP	O	O	9	case
9	pluie	pluie	NOUN	O	O	7	nmod
10	ruisselle	ruisseler	VERB	O	O	10	ROOT
11	sur	sur	ADP	O	O	13	case
12	les	le	DET	O	O	13	det
13	flancs	flanc	NOUN	BL	O	10	obl:arg
14	du	de	ADP	IL	O	15	case
15	terril	terril	NOUN	EL	O	13	nmod
16	et	et	CCONJ	O	O	18	cc
17	s’	s’	PRON	BN	O	18	expl:comp
18	infiltre	infiltre	VERB	EN	O	10	conj
19	dans	dans	ADP	IL	O	21	case
20	la	le	DET	IL	O	21	det
21	masse	masse	NOUN	IL	O	18	obl:arg
22	du	de	ADP	IL	O	23	case
23	terril	terril	NOUN	EL	O	21	nmod
24	.	.	PUNCT	O	O	10	punct


#L’eau se charge ainsi des sels contenus dans les matériaux déposés.
1	L’	l’	DET	O	O	2	det
2	eau	eau	NOUN	O	O	4	nsubj
3	se	se	PRON	BN	O	4	expl:comp
4	charge	charger	VERB	EN	O	4	ROOT
5	ainsi	ainsi	ADV	O	O	4	advmod
6	des	de	ADP	O	O	7	case
7	sels	sel	NOUN	O	O	4	obl:arg
8	contenus	contenir	VERB	O	O	7	acl
9	dans	dans	ADP	O	O	11	case
10	les	le	DET	O	O	11	det
11	matériaux	matériau	NOUN	O	O	8	obl:arg
12	déposés	déposer	VERB	O	O	11	acl
13	.	.	PUNCT	O	O	4	punct


#L’eau infiltrée rencontre à la base du terril des matériaux perméables et continue sa progression dans les alluvions sous-jacentes, pour rejoindre l’eau de la nappe phréatique.
1	L’	l’	DET	O	O	2	det
2	eau	eau	NOUN	O	O	4	nsubj
3	infiltrée	infiltrer	VERB	O	O	2	acl
4	rencontre	rencontre	VERB	O	O	4	ROOT
5	à	à	ADP	O	O	7	case
6	la	le	DET	O	O	7	det
7	base	base	NOUN	O	O	4	obl:mod
8	du	de	ADP	O	O	9	case
9	terril	terril	NOUN	O	O	7	nmod
