
#68.0016
#Jusqu’en 1974, l’usine PCUK (produits chimiques Ugine Kuhlmann) installée à Huningue (Haut‑Rhin), a produit un pesticide, le lindane ou γ HCH.
1	Jusqu’	jusqu’	O	_
2	en	en	O	_
3	1974	1974	O	_
4	,	,	O	_
5	l’	l’	O	_
6	usine	usine	O	_
7	PCUK	PCUK	BI	_
8	(	(	O	_
9	produits	produit	O	_
10	chimiques	chimique	BI	_
11	Ugine	Ugine	EI	_
12	Kuhlmann	Kuhlmann	EI	_
13	)	)	O	_
14	installée	installer	O	_
15	à	à	O	_
16	Huningue	Huningue	O	_
17	(	(	O	_
18	Haut‑Rhin	Haut‑Rhin	O	_
19	)	)	O	_
20	,	,	O	_
21	a	avoir	O	_
22	produit	produire	O	_
23	un	un	O	_
24	pesticide	pesticide	BS	_
25	,	,	O	_
26	le	le	BS	_
27	lindane	lindane	BS	_
28	ou	ou	BS	_
29	γ	γ	BS	_
30	HCH	hch	BS	_
31	.	.	O	_


#C’est le seul isomère inodore de l’hexachlorocyclohexane (HCH) et cette particularité a rendu sa commercialisation possible.
1	C’	c’	BS	_
2	est	être	O	_
3	le	le	O	_
4	seul	seul	O	_
5	isomère	isomère	BS	_
6	inodore	inodore	ES	_
7	de	de	O	_
8	l’	l’	O	_
9	hexachlorocyclohexane	hexachlorocyclohexane	BS	_
10	(	(	O	_
11	HCH	hch	BS	_
12	)	)	O	_
13	et	et	O	_
14	cette	ce	O	_
15	particularité	particularité	O	_
16	a	avoir	O	_
17	rendu	rendre	O	_
18	sa	son	O	_
19	commercialisation	commercialisation	O	_
20	possible	possible	O	_
21	.	.	O	_


#Sa fabrication a induit la production de déchets (autres isomères du HCH, non commercialisables car odorants) en quantités importantes.
1	Sa	son	O	_
2	fabrication	fabrication	O	_
3	a	avoir	O	_
4	induit	induire	O	_
5	la	le	O	_
6	production	production	O	_
7	de	de	O	_
8	déchets	déchet	O	_
9	(	(	O	_
10	autres	autre	O	_
11	isomères	isomère	BS	_
12	du	de	BS	_
13	HCH	HCH	ES	_
14	,	,	O	_
15	non	non	O	_
16	commercialisables	commercialisable	O	_
17	car	car	O	_
18	odorants	odorant	O	_
19	)	)	O	_
20	en	en	O	_
21	quantités	quantité	O	_
22	importantes	important	O	_
23	.	.	O	_


#L’exposition à ces polluants, qui se présentent sous forme de poudre blanche, se fait par ingestion (eau ou poussières) ou inhalation selon les isomères.
1	L’	l’	O	_
2	exposition	exposition	O	_
3	à	à	O	_
4	ces	ce	BU	_
5	polluants	polluant	EU	_
6	,	,	O	_
7	qui	qui	O	_
8	se	se	O	_
9	présentent	présenter	O	_
10	sous	sous	O	_
11	forme	forme	O	_
12	de	de	O	_
13	poudre	poudre	O	_
14	blanche	blanc	O	_
15	,	,	O	_
16	se	se	O	_
17	fait	faire	O	_
18	par	par	O	_
19	ingestion	ingestion	O	_
20	(	(	O	_
21	eau	eau	O	_
22	ou	ou	O	_
23	poussières	poussière	O	_
24	)	)	O	_
25	ou	ou	O	_
26	inhalation	inhalation	O	_
27	selon	selon	O	_
28	les	le	O	_
29	isomères	isomère	O	_
30	.	.	O	_


#Entre 1965 et 1970, la presque totalité des résidus de fabrication de lindane a été déchargée en vrac ou en fûts dans plusieurs gravières transformées en décharge situées sur les communes de Sierentz, Wintzenheim, Huningue dans le Haut-Rhin et Hochfelden, unique site dans le Bas-Rhin.
1	Entre	entre	O	_
2	1965	1965	O	_
3	et	et	O	_
4	1970	1970	O	_
5	,	,	O	_
6	la	le	O	_
7	presque	presque	O	_
8	totalité	totalité	O	_
9	des	de	O	_
10	résidus	résidu	O	_
11	de	de	O	_
12	fabrication	fabrication	O	_
13	de	de	O	_
14	lindane	lindane	BS	_
15	a	avoir	O	_
16	été	être	O	_
17	déchargée	décharger	O	_
18	en	en	O	_
19	vrac	vrac	O	_
20	ou	ou	O	_
21	en	en	O	_
22	fûts	fût	O	_
23	dans	dans	O	_
24	plusieurs	plusieurs	O	_
25	gravières	gravière	O	_
26	transformées	transformer	O	_
27	en	en	O	_
28	décharge	décharge	O	_
29	situées	situer	O	_
30	sur	sur	O	_
31	les	le	O	_
32	communes	commune	O	_
33	de	de	O	_
34	Sierentz	Sierentz	O	_
35	,	,	O	_
36	Wintzenheim	Wintzenheim	O	_
37	,	,	O	_
38	Huningue	Huningue	O	_
39	dans	dans	O	_
40	le	le	O	_
41	Haut-Rhin	Haut-Rhin	O	_
42	et	et	O	_
43	Hochfelden	Hochfelden	O	_
44	,	,	O	_
45	unique	unique	O	_
46	site	site	O	_
47	dans	dans	O	_
48	le	le	O	_
49	Bas-Rhin	Bas-Rhin	O	_
50	.	.	O	_


#Si la société PCUK a cessé son activité en 1974, elle a néanmoins participé à la sécurisation des sites susmentionnés en 1985 en procédant au confinement (partiel) des sources de pollution.
1	Si	si	O	_
2	la	le	BI	_
3	société	société	II	_
4	PCUK	PCUK	EI	_
5	a	avoir	O	_
6	cessé	cesser	O	_
7	son	son	O	_
8	activité	activité	O	_
9	en	en	O	_
10	1974	1974	O	_
11	,	,	O	_
12	elle	lui	O	_
13	a	avoir	O	_
14	néanmoins	néanmoins	O	_
15	participé	participer	O	_
16	à	à	O	_
17	la	le	O	_
18	sécurisation	sécurisation	O	_
19	des	de	O	_
20	sites	site	O	_
21	susmentionnés	susmentionner	O	_
22	en	en	O	_
23	1985	1985	O	_
24	en	en	O	_
25	procédant	procéder	O	_
26	au	au	O	_
27	confinement	confinement	O	_
28	(	(	O	_
29	partiel	partiel	O	_
30	)	)	O	_
31	des	de	O	_
32	sources	source	O	_
33	de	de	O	_
34	pollution	pollution	O	_
35	.	.	O	_


#Depuis le 23 décembre 1996, la société PCUK a été mise en liquidation et le suivi de ces sites, dits orphelins, a été pris en charge par l’État, la maîtrise d’œuvre étant assurée par l’Agence de l’Environnement et de la Maîtrise de l’Energie (ADEME).
1	Depuis	depuis	O	_
2	le	le	O	_
3	23	23	O	_
4	décembre	décembre	O	_
5	1996	1996	O	_
6	,	,	O	_
7	la	le	BI	_
8	société	société	II	_
9	PCUK	PCUK	EI	_
10	a	avoir	O	_
11	été	être	O	_
12	mise	mettre	O	_
13	en	en	O	_
14	liquidation	liquidation	O	_
15	et	et	O	_
16	le	le	O	_
17	suivi	suivi	O	_
18	de	de	O	_
19	ces	ce	O	_
20	sites	site	O	_
21	,	,	O	_
22	dits	dire	O	_
23	orphelins	orphelin	O	_
24	,	,	O	_
25	a	avoir	O	_
26	été	être	O	_
27	pris	prendre	O	_
28	en	en	O	_
29	charge	charge	O	_
30	par	par	O	_
31	l’	l’	O	_
32	État	état	O	_
33	,	,	O	_
34	la	le	O	_
35	maîtrise	maîtrise	O	_
36	d’	d’	O	_
37	œuvre	œuvre	O	_
38	étant	être	O	_
39	assurée	assurer	O	_
40	par	par	O	_
41	l’	l’	O	_
42	Agence	agence	O	_
43	de	de	O	_
44	l’	l’	O	_
45	Environnement	environnement	O	_
46	et	et	O	_
47	de	de	O	_
48	la	le	O	_
49	Maîtrise	maîtrise	O	_
50	de	de	O	_
51	l’	l’	O	_
52	Energie	energie	O	_
53	(	(	O	_
54	ADEME	ADEME	O	_
55	)	)	O	_
56	.	.	O	_


#Les résidus de fabrication de HCH ont été déchargés dans l’ancienne gravière « Brunner » à Sierentz.
1	Les	le	O	_
2	résidus	résidu	O	_
3	de	de	O	_
4	fabrication	fabrication	O	_
5	de	de	O	_
6	HCH	HCH	EU	_
7	ont	avoir	O	_
8	été	être	O	_
9	déchargés	décharger	O	_
10	dans	dans	O	_
11	l’	l’	O	_
12	ancienne	ancien	O	_
13	gravière	gravière	O	_
14	«	«	O	_
15	 	 	O	_
16	Brunner	Brunner	O	_
