
#42.0143
#Avant 1965, le site était une parcelle agricole.
1	Avant	avant	O	_
2	1965	1965	O	_
3	,	,	O	_
4	le	le	O	_
5	site	site	O	_
6	était	être	O	_
7	une	un	O	_
8	parcelle	parcelle	O	_
9	agricole	agricole	O	_
10	.	.	O	_


#En 1970, les bâtiments du centre commercial apparaissent sur les photos aériennes et à partir de 1979, les bâtiments et la station-service apparaissent tels qu’en 2007 sur les photos aériennes.
1	En	en	O	_
2	1970	1970	O	_
3	,	,	O	_
4	les	le	O	_
5	bâtiments	bâtiment	O	_
6	du	de	O	_
7	centre	centre	O	_
8	commercial	commercial	O	_
9	apparaissent	apparaître	O	_
10	sur	sur	O	_
11	les	le	O	_
12	photos	photo	O	_
13	aériennes	aérien	O	_
14	et	et	O	_
15	à	à	O	_
16	partir	partir	O	_
17	de	de	O	_
18	1979	1979	O	_
19	,	,	O	_
20	les	le	O	_
21	bâtiments	bâtiment	O	_
22	et	et	O	_
23	la	le	O	_
24	station	station	O	_
25	-	-	O	_
26	service	service	O	_
27	apparaissent	apparaître	O	_
28	tels	tel	O	_
29	qu’	qu’	O	_
30	en	en	O	_
31	2007	2007	O	_
32	sur	sur	O	_
33	les	le	O	_
34	photos	photo	O	_
35	aériennes	aérien	O	_
36	.	.	O	_


#*Contexte géologique :
1	*	*	O	_
2	Contexte	contexte	O	_
3	géologique	géologique	O	_
4	 	 	O	_
5	:	:	O	_


#Le site repose sur les terrains suivants :
1	Le	le	O	_
2	site	site	O	_
3	repose	repose	O	_
4	sur	sur	O	_
5	les	le	O	_
6	terrains	terrain	O	_
7	suivants	suivant	O	_
8	 	 	O	_
9	:	:	O	_


#- de 0 à 1 m : remblais sableux,
1	-	-	O	_
2	de	de	O	_
3	0	0	O	_
4	à	à	O	_
5	1	1	O	_
6	m	m	O	_
7	 	 	O	_
8	:	:	O	_
9	remblais	remblai	O	_
10	sableux	sableux	O	_
11	,	,	O	_


#- de 1 m à 2 m : argile sableuse accompagnée de graviers,
1	-	-	O	_
2	de	de	O	_
3	1	1	O	_
4	m	m	O	_
5	à	à	O	_
6	2	2	O	_
7	m	m	O	_
8	 	 	O	_
9	:	:	O	_
10	argile	argile	O	_
11	sableuse	sableux	O	_
12	accompagnée	accompagner	O	_
13	de	de	O	_
14	graviers	gravier	O	_
15	,	,	O	_


#- de 2 à 3/4 m : sable et graviers (alluvions du Furan),
1	-	-	O	_
2	de	de	O	_
3	2	2	O	_
4	à	à	O	_
5	3/4	3/4	O	_
6	m	m	O	_
7	 	 	O	_
8	:	:	O	_
9	sable	sable	O	_
10	et	et	O	_
11	graviers	gravier	O	_
12	(	(	O	_
13	alluvions	alluvion	O	_
14	du	de	O	_
15	Furan	Furan	O	_
16	)	)	O	_
17	,	,	O	_


#- de 3/4 m à 8 m : socle rocheux composé de schiste gris.
1	-	-	O	_
2	de	de	O	_
3	3/4	3/4	O	_
4	m	m	O	_
5	à	à	O	_
6	8	8	O	_
7	m	m	O	_
8	 	 	O	_
9	:	:	O	_
10	socle	socle	O	_
11	rocheux	rocheux	O	_
12	composé	composer	O	_
13	de	de	O	_
14	schiste	schiste	O	_
15	gris	gris	O	_
16	.	.	O	_


#*Contexte hydrologique :
1	*	*	O	_
2	Contexte	contexte	O	_
3	hydrologique	hydrologique	O	_
4	 	 	O	_
5	:	:	O	_


#Le site est situé approximativement à 250 m au Sud-Est de la rivière du Furan (affluent de la Loire).
1	Le	le	O	_
2	site	site	O	_
3	est	être	O	_
4	situé	situer	O	_
5	approximativement	approximativement	O	_
6	à	à	O	_
7	250	250	O	_
8	m	m	O	_
9	au	au	O	_
10	Sud-Est	sud-est	O	_
11	de	de	O	_
12	la	le	O	_
13	rivière	rivière	O	_
14	du	de	O	_
15	Furan	Furan	O	_
16	(	(	O	_
17	affluent	affluent	O	_
18	de	de	O	_
19	la	le	O	_
20	Loire	Loire	O	_
21	)	)	O	_
22	.	.	O	_


#Le Furan s'écoule de l'Est vers l'Ouest où il rejoint la Loire à plus de 9 km au Nord-ouest du site.
1	Le	le	O	_
2	Furan	Furan	O	_
3	s'	se	O	_
4	écoule	écoule	O	_
5	de	de	O	_
6	l'	le	O	_
7	Est	est	O	_
8	vers	vers	O	_
9	l'	le	O	_
10	Ouest	ouest	O	_
11	où	où	O	_
12	il	il	O	_
