
#91.0026
#L\'activité du site était dédiée à la fabrication de joints.
1	L\'activité	l\'activité	O	_
2	du	de	O	_
3	site	site	O	_
4	était	être	O	_
5	dédiée	dédier	O	_
6	à	à	O	_
7	la	le	O	_
8	fabrication	fabrication	O	_
9	de	de	O	_
10	joints	joint	O	_
11	.	.	O	_


#L\'établissement était autorisé par arrêté préfectoral du 14 décembre 1992 cependant certaines activités ayant cessé, le site est passé sous le régime de la déclaration en février 2001.
1	L\'établissement	l\'établissement	O	_
2	était	être	O	_
3	autorisé	autoriser	O	_
4	par	par	O	_
5	arrêté	arrêté	O	_
6	préfectoral	préfectoral	O	_
7	du	de	O	_
8	14	14	O	_
9	décembre	décembre	O	_
10	1992	1992	O	_
11	cependant	cependant	O	_
12	certaines	certain	O	_
13	activités	activité	O	_
14	ayant	avoir	O	_
15	cessé	cesser	O	_
16	,	,	O	_
17	le	le	O	_
18	site	site	O	_
19	est	être	O	_
20	passé	passer	O	_
21	sous	sous	O	_
22	le	le	O	_
23	régime	régime	O	_
24	de	de	O	_
25	la	le	O	_
26	déclaration	déclaration	O	_
27	en	en	O	_
28	février	février	O	_
29	2001	2001	O	_
30	.	.	O	_


#La société SOFAJOINT a cessé définitivement ses activités le 1er février 2003.
1	La	le	BI	_
2	société	société	II	_
3	SOFAJOINT	SOFAJOINT	EI	_
4	a	avoir	O	_
5	cessé	cesser	O	_
6	définitivement	définitivement	O	_
7	ses	son	O	_
8	activités	activité	O	_
9	le	le	O	_
10	1er	premier	O	_
11	février	février	O	_
12	2003	2003	O	_
13	.	.	O	_


#CE SITE A ETE A L\'ORIGINE D\'UNE POLLUTION DE LA RIVIERE ORGE DUE A UN DEVERSEMENT CHRONIQUE DE TOLUENE.
1	CE	ce	O	_
2	SITE	site	O	_
3	A	avoir	O	_
4	ETE	ete	O	_
5	A	à	O	_
6	L\'ORIGINE	l\'origine	O	_
7	D\'UNE	d\'une	O	_
8	POLLUTION	pollution	EI	_
9	DE	de	EI	_
10	LA	le	EI	_
11	RIVIERE	riviere	EI	_
12	ORGE	orge	EI	_
13	DUE	devoir	EI	_
14	A	à	EI	_
15	UN	un	EI	_
16	DEVERSEMENT	deversement	EI	_
17	CHRONIQUE	chronique	EI	_
18	DE	de	EI	_
19	TOLUENE	toluene	EI	_
20	.	.	O	_


#LA NAPPE D\'ACCOMPAGNEMENT DE LA RIVIERE A PRESENTE EGALEMENT DES TRACES DE POLLUTION.
1	LA	le	O	_
2	NAPPE	nappe	O	_
3	D\'ACCOMPAGNEMENT	d\'accompagnement	EI	_
4	DE	de	EI	_
5	LA	le	EI	_
6	RIVIERE	riviere	EI	_
7	A	à	O	_
8	PRESENTE	presente	O	_
9	EGALEMENT	egalement	O	_
10	DES	de	O	_
11	TRACES	trace	EI	_
12	DE	de	EI	_
13	POLLUTION	pollution	EI	_
14	.	.	O	_


#DES TRAVAUX DE MODIFICATION DES INSTALLATIONS POUR REMEDIER AU REJET ONT ETE REALISES EN JUIN 2000 (associés à un suivi de la qualité des rejets).
1	DES	un	O	_
2	TRAVAUX	travail	O	_
3	DE	de	O	_
4	MODIFICATION	modification	II	_
5	DES	de	EI	_
6	INSTALLATIONS	installation	EI	_
7	POUR	pour	EI	_
8	REMEDIER	remedier	EI	_
9	AU	au	EI	_
10	REJET	rejet	EI	_
11	ONT	avoir	O	_
12	ETE	ete	O	_
13	REALISES	realiser	O	_
14	EN	en	O	_
15	JUIN	juin	O	_
16	2000	2000	O	_
17	(	(	O	_
18	associés	associer	O	_
19	à	à	O	_
20	un	un	O	_
21	suivi	suivi	O	_
22	de	de	O	_
23	la	le	O	_
24	qualité	qualité	O	_
25	des	de	O	_
26	rejets	rejet	O	_
27	)	)	O	_
28	.	.	O	_


#Toute trace de la pollution chronique a disparu.
1	Toute	tout	O	_
2	trace	trace	O	_
3	de	de	O	_
4	la	le	O	_
5	pollution	pollution	O	_
6	chronique	chronique	O	_
