
#91.0077
#Implantée en zone industrielle, cette friche est un ancien site de 4,5 hectares de production de substances pharmaceutiques exploité par la société SANOFI PHARMA INDUSTRIE (SANOFI AVENTIS à ce jour).
1	Implantée	implanter	O	_
2	en	en	O	_
3	zone	zone	O	_
4	industrielle	industriel	O	_
5	,	,	O	_
6	cette	ce	O	_
7	friche	friche	O	_
8	est	être	O	_
9	un	un	O	_
10	ancien	ancien	O	_
11	site	site	O	_
12	de	de	O	_
13	4,5	4,5	O	_
14	hectares	hectare	O	_
15	de	de	O	_
16	production	production	O	_
17	de	de	O	_
18	substances	substance	O	_
19	pharmaceutiques	pharmaceutique	O	_
20	exploité	exploiter	O	_
21	par	par	O	_
22	la	le	BI	_
23	société	société	II	_
24	SANOFI	SANOFI	EI	_
25	PHARMA	PHARMA	EI	_
26	INDUSTRIE	INDUSTRIE	EI	_
27	(	(	O	_
28	SANOFI	SANOFI	EI	_
29	AVENTIS	AVENTIS	EI	_
30	à	à	O	_
31	ce	ce	O	_
32	jour	jour	O	_
33	)	)	O	_
34	.	.	O	_


#Cette société est également propriétaire du terrain.
1	Cette	ce	O	_
2	société	société	O	_
3	est	être	O	_
4	également	également	O	_
5	propriétaire	propriétaire	O	_
6	du	de	O	_
7	terrain	terrain	O	_
8	.	.	O	_


#Les activités industrielles y ont cessé en 1995, date à laquelle les investigations de sol demandées par la DRIRE n'avaient révélé aucune pollution notable des sols ou eaux souterraines.
1	Les	le	O	_
2	activités	activité	O	_
3	industrielles	industriel	O	_
4	y	y	O	_
5	ont	avoir	O	_
6	cessé	cesser	O	_
7	en	en	O	_
8	1995	1995	O	_
9	,	,	O	_
10	date	date	O	_
11	à	à	O	_
12	laquelle	lequel	O	_
13	les	le	O	_
14	investigations	investigation	O	_
15	de	de	O	_
16	sol	sol	O	_
17	demandées	demander	O	_
18	par	par	O	_
19	la	le	BI	_
20	DRIRE	DRIRE	EI	_
21	n'	n'	O	_
22	avaient	avoir	O	_
23	révélé	révéler	O	_
24	aucune	aucun	O	_
25	pollution	pollution	O	_
26	notable	notable	O	_
27	des	de	O	_
28	sols	sol	O	_
29	ou	ou	O	_
30	eaux	eau	O	_
31	souterraines	souterrain	O	_
32	.	.	O	_


#Le site, clôturé et gardienné, est resté sans activité dans l'attente de la démolition des bâtiments et infrastructures présentes.
1	Le	le	O	_
2	site	site	O	_
3	,	,	O	_
4	clôturé	clôturer	O	_
5	et	et	O	_
6	gardienné	gardienner	O	_
7	,	,	O	_
8	est	être	O	_
9	resté	rester	O	_
10	sans	sans	O	_
11	activité	activité	O	_
12	dans	dans	O	_
13	l'	le	O	_
14	attente	attente	O	_
15	de	de	O	_
16	la	le	O	_
17	démolition	démolition	O	_
18	des	de	O	_
19	bâtiments	bâtiment	O	_
20	et	et	O	_
21	infrastructures	infrastructure	O	_
22	présentes	présent	O	_
23	.	.	O	_


#Cette démolition a révélé, début 2001, une pollution par des solvants chlorés (trichoroéthylène en particulier) et par des hydrocarbures aromatiques (benzène en particulier) sur une surface de l'ordre de 3000 m2 et une profondeur de 3 m.
1	Cette	ce	O	_
2	démolition	démolition	O	_
3	a	avoir	O	_
4	révélé	révéler	O	_
5	,	,	O	_
6	début	début	O	_
7	2001	2001	O	_
8	,	,	O	_
9	une	un	O	_
