
#69.0238
#Fondé en 1905, l'industriel lyonnais a successivement évolué dans le giron de Schneider Electric et de Siemens, avant de gagner son indépendance en 2006, avec l'aide de l'investisseur américain AIAC.
1	Fondé	fonder	O	_
2	en	en	O	_
3	1905	1905	O	_
4	,	,	O	_
5	l'	le	O	_
6	industriel	industriel	O	_
7	lyonnais	lyonnais	O	_
8	a	avoir	O	_
9	successivement	successivement	O	_
10	évolué	évoluer	O	_
11	dans	dans	O	_
12	le	le	O	_
13	giron	giron	O	_
14	de	de	O	_
15	Schneider	Schneider	EI	_
16	Electric	Electric	EI	_
17	et	et	O	_
18	de	de	O	_
19	Siemens	Siemens	O	_
20	,	,	O	_
21	avant	avant	O	_
22	de	de	O	_
23	gagner	gagner	O	_
24	son	son	O	_
25	indépendance	indépendance	O	_
26	en	en	O	_
27	2006	2006	O	_
28	,	,	O	_
29	avec	avec	O	_
30	l'	le	O	_
31	aide	aide	O	_
32	de	de	O	_
33	l'	le	O	_
34	investisseur	investisseur	O	_
35	américain	américain	BI	_
36	AIAC	AIAC	EI	_
37	.	.	O	_


#C'est en novembre 2008 que ce dernier a mis sa participation en vente.
1	C'	ce	O	_
2	est	être	O	_
3	en	en	O	_
4	novembre	novembre	O	_
5	2008	2008	O	_
6	que	que	O	_
7	ce	ce	O	_
8	dernier	dernier	O	_
9	a	avoir	O	_
10	mis	mettre	O	_
11	sa	son	O	_
12	participation	participation	O	_
13	en	en	O	_
14	vente	vente	O	_
15	.	.	O	_


#Le fabricant de transformateurs électriques accueille désormais le fonds de capital-investissement Siparex à son tour de table.
1	Le	le	O	_
2	fabricant	fabricant	O	_
3	de	de	O	_
4	transformateurs	transformateur	O	_
5	électriques	électrique	O	_
6	accueille	accueillir	O	_
7	désormais	désormais	O	_
8	le	le	O	_
9	fonds	fonds	O	_
10	de	de	O	_
11	capital	capital	O	_
12	-	-	O	_
13	investissement	investissement	O	_
14	Siparex	Siparex	EI	_
15	à	à	O	_
16	son	son	O	_
17	tour	tour	O	_
18	de	de	O	_
19	table	table	O	_
20	.	.	O	_


#L’activité industrielle du site JST Transformateur concerne la production de transformateurs de puissance haute tension et de transformateurs de locomotive embarqués (TGV notamment).
1	L’	l’	O	_
2	activité	activité	O	_
3	industrielle	industriel	O	_
4	du	de	O	_
5	site	site	O	_
6	JST	JST	II	_
7	Transformateur	Transformateur	EI	_
8	concerne	concerne	O	_
9	la	le	O	_
10	production	production	O	_
11	de	de	O	_
12	transformateurs	transformateur	O	_
13	de	de	O	_
14	puissance	puissance	O	_
15	haute	haut	O	_
16	tension	tension	O	_
17	et	et	O	_
18	de	de	O	_
19	transformateurs	transformateur	O	_
20	de	de	O	_
21	locomotive	locomotive	O	_
22	embarqués	embarquer	O	_
23	(	(	O	_
24	TGV	TGV	O	_
25	notamment	notamment	O	_
26	)	)	O	_
27	.	.	O	_


#Cette activité se décompose en plusieurs étapes :
1	Cette	ce	O	_
2	activité	activité	O	_
3	se	se	O	_
4	décompose	décompose	O	_
5	en	en	O	_
6	 	 	O	_
7	plusieurs	plusieurs	O	_
8	étapes	étape	O	_
9	:	:	O	_


#le bobinage
1	le	le	O	_
2	bobinage	bobinage	O	_


#la préparation des isolants
1	la	le	O	_
2	préparation	préparation	O	_
3	des	de	O	_
4	isolants	isolant	O	_


#la menuiserie
1	la	le	O	_
2	menuiserie	menuiserie	O	_


#l’assemblage des isolants et des bobines
1	l’	l’	O	_
2	assemblage	assemblage	O	_
3	des	de	O	_
4	isolants	isolant	O	_
5	et	et	O	_
6	des	de	O	_
7	bobines	bobine	BU	_


#le séchage et montage des transformateurs : imprégnation d'huiles
1	le	le	O	_
2	séchage	séchage	O	_
3	et	et	O	_
4	montage	montage	O	_
5	des	de	O	_
6	transformateurs	transformateur	O	_
7	 	 	O	_
8	:	:	O	_
9	imprégnation	imprégnation	O	_
10	d'	de	O	_
11	huiles	huile	O	_


#la peinture
1	la	le	O	_
2	peinture	peinture	O	_


#les tests
1	les	le	O	_
2	tests	test	O	_


#le conditionnement
1	le	le	O	_
2	conditionnement	conditionnement	O	_


#L'établissement est certifié ISO 9001 (2000) et ISO 14001(2004)
1	L'	le	O	_
2	établissement	établissement	O	_
3	est	être	O	_
4	certifié	certifier	O	_
5	ISO	iso	O	_
6	9001	9001	O	_
7	(	(	O	_
8	2000	2000	O	_
9	)	)	O	_
10	et	et	O	_
11	ISO	iso	O	_
12	14001(2004	14001(2004	O	_
13	)	)	O	_


#Très imbriqué dans l’agglomération lyonnaise, le site est bordé par :
1	Très	très	O	_
2	imbriqué	imbriquer	O	_
3	dans	dans	O	_
4	l’	l’	O	_
5	agglomération	agglomération	O	_
6	lyonnaise	lyonnais	O	_
7	,	,	O	_
8	le	le	O	_
9	site	site	O	_
10	est	être	O	_
11	bordé	border	O	_
12	par	par	O	_
13	:	:	O	_


#o Au nord ouest, par la rue du Professeur Beauvisage puis par des immeubles résidentiels et
1	o	o	O	_
2	Au	au	O	_
3	nord	nord	O	_
4	ouest	ouest	O	_
5	,	,	O	_
6	par	par	O	_
7	la	le	O	_
8	rue	rue	O	_
9	du	de	O	_
10	Professeur	professeur	O	_
11	Beauvisage	Beauvisage	O	_
12	puis	puis	O	_
13	par	par	O	_
14	des	un	O	_
15	immeubles	immeuble	O	_
16	résidentiels	résidentiel	O	_
17	et	et	O	_


#maisons individuelles ;
1	maisons	maison	O	_
2	individuelles	individuel	O	_
3	;	;	O	_


#o Au nord est, par l’avenue Paul Santy puis par des immeubles résidentiels ;
1	o	o	O	_
2	Au	au	O	_
3	nord	nord	O	_
4	est	être	O	_
5	,	,	O	_
6	par	par	O	_
7	l’	l’	O	_
8	avenue	avenue	O	_
9	Paul	Paul	O	_
10	Santy	Santy	O	_
11	puis	puis	O	_
12	par	par	O	_
13	des	un	O	_
14	immeubles	immeuble	O	_
15	résidentiels	résidentiel	O	_
16	;	;	O	_


#o Au sud est, par des immeubles résidentiels et des établissements scolaires puis la rue Stéphane
1	o	o	O	_
2	Au	au	O	_
3	sud	sud	O	_
4	est	être	O	_
5	,	,	O	_
6	par	par	O	_
7	des	un	O	_
8	immeubles	immeuble	O	_
9	résidentiels	résidentiel	O	_
10	et	et	O	_
11	des	un	O	_
12	établissements	établissement	O	_
13	scolaires	scolaire	O	_
14	puis	puis	O	_
15	la	le	O	_
16	rue	rue	O	_
17	Stéphane	Stéphane	O	_


#Coignet ;
1	Coignet	Coignet	O	_
2	;	;	O	_


#o Au sud ouest, par des immeubles résidentiels munis d’espaces verts, par la rue Philippe Fabia
1	o	o	O	_
2	Au	au	O	_
3	sud	sud	O	_
4	ouest	ouest	O	_
5	,	,	O	_
6	par	par	O	_
7	des	un	O	_
8	immeubles	immeuble	O	_
9	résidentiels	résidentiel	O	_
10	munis	munir	O	_
11	d’	d’	O	_
12	espaces	espace	O	_
13	verts	vert	O	_
14	,	,	O	_
15	par	par	O	_
16	la	le	O	_
17	rue	rue	O	_
18	Philippe	Philippe	O	_
19	Fabia	Fabia	O	_


#puis par le boulevard des Etats-Unis.
1	puis	puis	O	_
2	par	par	O	_
3	le	le	O	_
4	boulevard	boulevard	O	_
5	des	de	O	_
6	Etats-Unis	Etats-Unis	O	_
7	.	.	O	_


#Le site repose sur des terrains constitués d’alluvions fluvio glaciaires perméable (5.10-4 m/s).
1	Le	le	O	_
2	site	site	O	_
3	repose	repose	O	_
4	sur	sur	O	_
5	des	un	O	_
6	terrains	terrain	O	_
7	constitués	constituer	O	_
8	d’	d’	O	_
9	alluvions	alluvion	O	_
10	fluvio	fluvio	O	_
11	glaciaires	glaciaire	O	_
12	perméable	perméable	O	_
13	(	(	O	_
14	5.10	5.10	O	_
15	-	-	O	_
16	4	4	O	_
17	m	m	O	_
18	/	sur	O	_
19	s	s	O	_
20	)	)	O	_
21	.	.	O	_


#Une nappe est présente à partir
1	Une	un	O	_
2	nappe	nappe	O	_
3	est	être	O	_
4	présente	présent	O	_
5	à	à	O	_
6	partir	partir	O	_


#de 8 m de profondeur environ, et est mal protégée géologiquement des infiltrations.
1	de	de	O	_
2	8	8	O	_
3	m	m	O	_
4	de	de	O	_
5	profondeur	profondeur	O	_
6	environ	environ	O	_
7	,	,	O	_
8	et	et	O	_
9	est	être	O	_
10	mal	mal	O	_
11	protégée	protéger	O	_
12	géologiquement	géologiquement	O	_
13	des	de	O	_
14	infiltrations	infiltration	O	_
15	.	.	O	_


#Les voies de
1	Les	le	O	_
2	voies	voie	O	_
3	de	de	O	_


#transfert dans le sol et la nappe sont donc relativement rapides au niveau des zones non
1	transfert	transfert	O	_
2	dans	dans	O	_
3	le	le	O	_
4	sol	sol	O	_
5	et	et	O	_
6	la	le	O	_
7	nappe	nappe	O	_
8	sont	être	O	_
9	donc	donc	O	_
10	relativement	relativement	O	_
11	rapides	rapide	O	_
12	au	au	O	_
13	niveau	niveau	O	_
14	des	de	O	_
15	zones	zone	O	_
16	non	non	O	_


#imperméabilisées.
1	imperméabilisées	imperméabiliser	O	_
2	.	.	O	_


#Le 26 septembre 1992, suite à l'ouverture accidentelle de la porte de l'autoclave, 80m3 d'huile (exemptes de PCB), se répandent sur le sol. 30m3 s'infiltrent dans le sous-sol.
1	Le	le	O	_
2	26	26	O	_
3	septembre	septembre	O	_
4	1992	1992	O	_
5	,	,	O	_
6	suite	suite	O	_
7	à	à	O	_
8	l'	le	O	_
9	ouverture	ouverture	O	_
10	accidentelle	accidentel	O	_
11	de	de	O	_
12	la	le	O	_
13	porte	porte	O	_
14	de	de	O	_
15	l'	le	O	_
16	autoclave	autoclave	O	_
17	,	,	O	_
18	80m3	80m3	O	_
19	d'	de	O	_
20	huile	huile	BS	_
21	(	(	O	_
22	exemptes	exempte	O	_
23	de	de	O	_
24	PCB	pcb	BS	_
25	)	)	O	_
26	,	,	O	_
27	se	se	O	_
28	répandent	répandre	O	_
29	sur	sur	O	_
30	le	le	O	_
31	sol	sol	O	_
32	.	.	O	_
33	30m3	30m3	O	_
34	s'	se	O	_
35	infiltrent	infiltrer	O	_
36	dans	dans	O	_
37	le	le	O	_
38	sous-sol	sous-sol	O	_
39	.	.	O	_


#En juin 1999, la réalisation des piézomètres PO11 et PO12 a mis en évidence une phase libre de 60 cm d'hydrocarbures surnageant sur la nappe.
1	En	en	O	_
2	juin	juin	O	_
3	1999	1999	O	_
4	,	,	O	_
5	la	le	O	_
6	réalisation	réalisation	O	_
7	des	de	O	_
8	piézomètres	piézomètre	O	_
9	PO11	po11	O	_
10	et	et	O	_
11	PO12	po12	O	_
12	a	avoir	O	_
13	mis	mettre	O	_
14	en	en	O	_
15	évidence	évidence	O	_
16	une	un	O	_
17	phase	phase	O	_
18	libre	libre	O	_
19	de	de	O	_
20	60	60	O	_
21	cm	cm	O	_
22	d'	de	O	_
