
#67.0104
#Terril situé sur l'ancien siège Daniel Mieg de l'ancienne exploitation pétrolière de Pechelbronn, à proximité des puits III et VII.
1	Terril	Terril	BR	_
2	situé	situer	BL	_
3	sur	sur	IL	_
4	l'	le	IL	_
5	ancien	ancien	IL	_
6	siège	siège	BO	_
7	Daniel	Daniel	BO	_
8	Mieg	Mieg	EO	_
9	de	de	O	_
10	l'	le	BO	_
11	ancienne	ancien	IO	_
12	exploitation	exploitation	IO	_
13	pétrolière	pétrolier	EO	_
14	de	de	O	_
15	Pechelbronn	Pechelbronn	EO	_
16	,	,	O	_
17	à	à	BL	_
18	proximité	proximité	IL	_
19	des	de	IL	_
20	puits	puits	IL	_
21	III	III	IL	_
22	et	et	IL	_
23	VII	vii	IL	_
24	.	.	O	_


#Il se trouve entouré de parcelles agricoles et des anciens batiments miniers (rasés en 2012).
1	Il	il	BO	_
2	se	se	BL	_
3	trouve	trouve	IL	_
4	entouré	entourer	IL	_
5	de	de	IL	_
6	parcelles	parcelle	IO	_
7	agricoles	agricole	EO	_
8	et	et	O	_
9	des	de	O	_
10	anciens	ancien	BO	_
11	batiments	batiment	BO	_
12	miniers	minier	EO	_
13	(	(	O	_
14	rasés	raser	BN	_
15	en	en	BT	_
16	2012	2012	ET	_
17	)	)	ET	_
18	.	.	O	_


#Le terril n'est plus stable et s'affaisse.
1	Le	le	BO	_
2	terril	terril	IO	_
3	n'	n'	BN	_
4	est	être	BN	_
5	plus	plus	IN	_
6	stable	stable	EN	_
7	et	et	O	_
8	s'	se	BN	_
9	affaisse	affaisse	EN	_
10	.	.	O	_


#Une étude de stabilité a été menée dès 1985 par le BRGM (rapport BRGM 85 SGAL 061).
1	Une	un	BN	_
2	étude	étude	IN	_
3	de	de	IN	_
4	stabilité	stabilité	EN	_
5	a	avoir	BN	_
6	été	être	IN	_
7	menée	mener	EN	_
8	dès	dès	BT	_
9	1985	1985	ET	_
10	par	par	O	_
11	le	le	BO	_
12	BRGM	BRGM	EO	_
13	(	(	O	_
14	rapport	rapport	O	_
15	BRGM	BRGM	O	_
16	85	85	O	_
17	SGAL	SGAL	O	_
18	061	061	O	_
