
#68.0016
#Jusqu’en 1974, l’usine PCUK (produits chimiques Ugine Kuhlmann) installée à Huningue (Haut‑Rhin), a produit un pesticide, le lindane ou γ HCH.
1	Jusqu’	jusqu’	BT	_
2	en	en	IT	_
3	1974	1974	ET	_
4	,	,	O	_
5	l’	l’	BO	_
6	usine	usine	IO	_
7	PCUK	PCUK	EO	_
8	(	(	O	_
9	produits	produit	O	_
10	chimiques	chimique	O	_
11	Ugine	Ugine	BO	_
12	Kuhlmann	Kuhlmann	EO	_
13	)	)	O	_
14	installée	installer	BN	_
15	à	à	IN	_
16	Huningue	Huningue	IN	_
17	(	(	IN	_
18	Haut‑Rhin	Haut‑Rhin	IN	_
19	)	)	O	_
20	,	,	O	_
21	a	avoir	BA	_
22	produit	produire	EN	_
23	un	un	BO	_
24	pesticide	pesticide	EO	_
25	,	,	O	_
26	le	le	O	_
27	lindane	lindane	O	_
28	ou	ou	O	_
29	γ	γ	O	_
30	HCH	hch	O	_
31	.	.	O	_


#C’est le seul isomère inodore de l’hexachlorocyclohexane (HCH) et cette particularité a rendu sa commercialisation possible.
1	C’	c’	O	_
2	est	être	O	_
3	le	le	O	_
4	seul	seul	O	_
5	isomère	isomère	O	_
6	inodore	inodore	O	_
7	de	de	O	_
8	l’	l’	O	_
9	hexachlorocyclohexane	hexachlorocyclohexane	O	_
10	(	(	O	_
11	HCH	hch	O	_
12	)	)	O	_
13	et	et	O	_
14	cette	ce	O	_
15	particularité	particularité	O	_
16	a	avoir	BN	_
17	rendu	rendre	IN	_
18	sa	son	IN	_
19	commercialisation	commercialisation	EN	_
20	possible	possible	EO	_
21	.	.	O	_


#Sa fabrication a induit la production de déchets (autres isomères du HCH, non commercialisables car odorants) en quantités importantes.
1	Sa	son	BO	_
2	fabrication	fabrication	EO	_
3	a	avoir	BN	_
4	induit	induire	EN	_
5	la	le	BN	_
6	production	production	EN	_
7	de	de	O	_
8	déchets	déchet	O	_
9	(	(	O	_
10	autres	autre	O	_
11	isomères	isomère	O	_
12	du	de	O	_
13	HCH	HCH	O	_
14	,	,	O	_
15	non	non	O	_
16	commercialisables	commercialisable	O	_
17	car	car	O	_
18	odorants	odorant	O	_
19	)	)	O	_
20	en	en	O	_
