
#64.0007
#TOTAL E&P France exploite une plate-forme industrielle à Lacq (64).
1	TOTAL	TOTAL	BO	_
2	E&P	E&P	BO	_
3	France	France	EO	_
4	exploite	exploite	BN	_
5	une	un	IN	_
6	plate	plate	EN	_
7	-	-	EN	_
8	forme	forme	IA	_
9	industrielle	industriel	IA	_
10	à	à	IL	_
11	Lacq	Lacq	EL	_
12	(	(	EL	_
13	64	64	EL	_
14	)	)	EL	_
15	.	.	O	_


#D'une surface de 220 hectares environ, l'usine de Lacq traite et transforme le gaz des gisements avoisinants.
1	D'	de	O	_
2	une	un	O	_
3	surface	surface	O	_
4	de	de	O	_
5	220	220	O	_
6	hectares	hectare	O	_
7	environ	environ	O	_
8	,	,	O	_
9	l'	le	BO	_
10	usine	usine	EO	_
11	de	de	IL	_
12	Lacq	Lacq	EL	_
13	traite	traire	BA	_
14	et	et	IA	_
15	transforme	transforme	IA	_
16	le	le	IA	_
17	gaz	gaz	IA	_
18	des	de	IA	_
19	gisements	gisement	IA	_
20	avoisinants	avoisinant	EA	_
21	.	.	O	_


#Le site se trouve le long du Gave de Pau à une vingtaine de km de la ville de Pau.
1	Le	le	BO	_
2	site	site	EO	_
3	se	se	BL	_
4	trouve	trouve	IL	_
5	le	le	IL	_
6	long	long	IL	_
7	du	de	IL	_
8	Gave	Gave	IL	_
9	de	de	IL	_
10	Pau	Pau	IL	_
11	à	à	IL	_
12	une	un	IL	_
13	vingtaine	vingtaine	IL	_
14	de	de	IL	_
15	km	kilomètre	IL	_
16	de	de	IL	_
17	la	le	IL	_
18	ville	ville	IL	_
19	de	de	IL	_
20	Pau	Pau	EL	_
21	.	.	O	_


#L’activité industrielle du Lotissement a démarré en 1957, après la découverte de Lacq Supérieur (pétrole) et Lacq Profond (gaz) en 1949/1951.
1	L’	l’	BA	_
2	activité	activité	IA	_
3	industrielle	industriel	IA	_
4	du	de	IA	_
5	Lotissement	Lotissement	EO	_
6	a	avoir	BN	_
7	démarré	démarrer	EN	_
8	en	en	BT	_
9	1957	1957	ET	_
10	,	,	O	_
11	après	après	BR	_
12	la	le	BN	_
13	découverte	découverte	EN	_
14	de	de	O	_
15	Lacq	Lacq	BO	_
16	Supérieur	supérieur	EO	_
17	(	(	O	_
18	pétrole	pétrole	EA	_
19	)	)	O	_
20	et	et	O	_
21	Lacq	Lacq	O	_
22	Profond	profond	O	_
23	(	(	O	_
24	gaz	gaz	O	_
25	)	)	O	_
26	en	en	BT	_
27	1949/1951	1949/1951	ET	_
28	.	.	O	_


#L’usine a été construite sur une zone à vocation agricole.
1	L’	l’	BO	_
2	usine	usine	EO	_
3	a	avoir	BN	_
4	été	être	IN	_
5	construite	construire	IL	_
6	sur	sur	IL	_
