
#76.0057
#Nature : Site industriel en activité (ancien site HYDRO AGRI FRANCE exploité par d’autres industriels)
1	Nature	nature	O	_
2	:	:	O	_
3	Site	site	BN	_
4	industriel	industriel	IN	_
5	en	en	IN	_
6	activité	activité	EN	_
7	(	(	O	_
8	ancien	ancien	BO	_
9	site	site	IO	_
10	HYDRO	HYDRO	IO	_
11	AGRI	AGRI	EO	_
12	FRANCE	FRANCE	EO	_
13	exploité	exploiter	BN	_
14	par	par	EN	_
15	d’	d’	O	_
16	autres	autre	O	_
17	industriels	industriel	O	_
18	)	)	O	_


#Topographie : Terrain remblayé de la Zone Industrielle (Gonfreville l’Orcher et Rogerville), situé à proximité du grand canal du Havre.
1	Topographie	topographie	O	_
2	:	:	O	_
3	Terrain	terrain	O	_
4	remblayé	remblayer	EN	_
5	de	de	IL	_
6	la	le	IL	_
7	Zone	zone	IL	_
8	Industrielle	industriel	IL	_
9	(	(	O	_
10	Gonfreville	Gonfreville	IL	_
11	l’	l’	IL	_
12	Orcher	Orcher	IL	_
13	et	et	IL	_
14	Rogerville	Rogerville	EL	_
15	)	)	O	_
16	,	,	O	_
17	situé	situer	BL	_
18	à	à	IL	_
19	proximité	proximité	IL	_
20	du	de	IL	_
21	grand	grand	IL	_
22	canal	canal	IL	_
23	du	de	IL	_
24	Havre	Havre	EL	_
25	.	.	O	_


#Superficie du site : La zone polluée (correspondant à l’implantation de l’atelier phosphorique HYDRO AGRI FRANCE) a été entièrement dépolluée.
1	Superficie	superficie	O	_
2	du	de	O	_
3	site	site	O	_
4	:	:	O	_
5	La	le	BO	_
6	zone	zone	IO	_
7	polluée	polluer	EO	_
8	(	(	O	_
9	correspondant	correspondre	BR	_
10	à	à	ER	_
11	l’	l’	BN	_
12	implantation	implantation	EN	_
13	de	de	O	_
14	l’	l’	O	_
15	atelier	atelier	O	_
16	phosphorique	phosphorique	IO	_
17	HYDRO	HYDRO	IO	_
18	AGRI	AGRI	EO	_
19	FRANCE	FRANCE	EO	_
20	)	)	O	_
21	a	avoir	BN	_
22	été	être	IN	_
23	entièrement	entièrement	IN	_
24	dépolluée	dépolluer	EN	_
25	.	.	O	_


#Reste actuellement le bunker occupé par les 11 conteneurs contenant 112 262 kg de déchets faiblement radioactifs.
1	Reste	reste	O	_
2	actuellement	actuellement	O	_
3	le	le	BO	_
4	bunker	bunker	EO	_
5	occupé	occuper	O	_
6	par	par	O	_
7	les	le	O	_
8	11	11	O	_
9	conteneurs	conteneur	O	_
10	contenant	contenir	O	_
11	112	112	O	_
12	262	262	O	_
13	kg	kilogramme	O	_
14	de	de	O	_
15	déchets	déchet	O	_
16	faiblement	faiblement	O	_
17	radioactifs	radioactif	O	_
18	.	.	O	_


#Origine de la pollution : La pollution radioactive au radium 226 est due au fonctionnement de l’atelier de fabrication d’acide phosphorique.
1	Origine	origine	O	_
2	de	de	O	_
3	la	le	O	_
4	pollution	pollution	O	_
5	:	:	O	_
6	La	le	O	_
7	pollution	pollution	O	_
8	radioactive	radioactif	O	_
9	au	au	O	_
10	radium	radium	O	_
11	226	226	O	_
12	est	être	O	_
13	due	devoir	O	_
14	au	au	O	_
15	fonctionnement	fonctionnement	EA	_
16	de	de	O	_
17	l’	l’	O	_
18	atelier	atelier	O	_
19	de	de	O	_
20	fabrication	fabrication	BA	_
21	d’	d’	IA	_
22	acide	acide	IA	_
23	phosphorique	phosphorique	EA	_
24	.	.	O	_


#En 1995 les travaux de démantèlement de cet atelier ont été suspendus suite à la découverte de pièces métalliques faiblement radioactives dans des unités du même type.
1	En	en	BT	_
2	1995	1995	ET	_
3	les	le	BN	_
4	travaux	travail	IN	_
5	de	de	IN	_
6	démantèlement	démantèlement	EN	_
7	de	de	O	_
8	cet	ce	BO	_
9	atelier	atelier	EO	_
10	ont	avoir	BN	_
11	été	être	IN	_
12	suspendus	suspendre	EN	_
13	suite	suite	BR	_
14	à	à	ER	_
15	la	le	BN	_
16	découverte	découverte	EN	_
17	de	de	BO	_
18	pièces	pièce	IO	_
19	métalliques	métallique	EO	_
20	faiblement	faiblement	O	_
21	radioactives	radioactif	O	_
22	dans	dans	O	_
23	des	un	O	_
24	unités	unité	O	_
25	du	de	O	_
26	même	même	O	_
27	type	type	O	_
28	.	.	O	_


#DESCRIPTION QUALITATIVE DES RISQUES ET DES NUISANCES
1	DESCRIPTION	description	O	_
2	QUALITATIVE	qualitatif	O	_
3	DES	de	O	_
4	RISQUES	risque	O	_
5	ET	et	O	_
6	DES	de	O	_
7	NUISANCES	nuisance	EO	_


#La zone contaminée correspondait à l’emplacement de l’atelier phosphorique.
1	La	le	BO	_
2	zone	zone	BO	_
3	contaminée	contaminer	EO	_
4	correspondait	correspondre	O	_
5	à	à	O	_
6	l’	l’	BO	_
7	emplacement	emplacement	EO	_
8	de	de	O	_
9	l’	l’	BO	_
10	atelier	atelier	IO	_
11	phosphorique	phosphorique	EO	_
12	.	.	O	_


#Les installations de cet atelier étaient également contaminées.
1	Les	le	BO	_
2	installations	installation	EO	_
3	de	de	O	_
4	cet	ce	BO	_
5	atelier	atelier	EO	_
6	étaient	être	O	_
7	également	également	O	_
8	contaminées	contaminer	EO	_
9	.	.	O	_


#La nappe phréatique est la nappe d’accompagnement de la Seine.
1	La	le	O	_
2	nappe	nappe	O	_
3	phréatique	phréatique	O	_
4	est	être	O	_
5	la	le	BO	_
6	nappe	nappe	EO	_
7	d’	d’	O	_
8	accompagnement	accompagnement	BL	_
9	de	de	IL	_
10	la	le	IL	_
11	Seine	Seine	EL	_
12	.	.	O	_


#Aucun prélèvement ou captage n’existe a proximité du site.
1	Aucun	aucun	O	_
2	prélèvement	prélèvement	O	_
3	ou	ou	O	_
4	captage	captage	O	_
5	n’	n’	O	_
6	existe	existe	O	_
7	a	à	BL	_
8	proximité	proximité	IL	_
9	du	de	IL	_
10	site	site	EL	_
11	.	.	O	_


#ACTIONS MENEES
1	ACTIONS	action	O	_
2	MENEES	menee	O	_


#Décisions administratives
1	Décisions	décision	BN	_
2	administratives	administratif	EO	_


#Arrêté Préfectoral du 14 juin 1993 : échéancier des travaux de démolition ou de reprise de l’ancien site industriel occupé par HYDRO AGRI FRANCE à Rogerville.
1	Arrêté	arrêté	BO	_
2	Préfectoral	préfectoral	EO	_
3	du	de	BT	_
4	14	14	IT	_
5	juin	juin	IT	_
6	1993	1993	ET	_
7	:	:	O	_
8	échéancier	échéancier	EO	_
9	des	de	BN	_
10	travaux	travail	IN	_
11	de	de	IN	_
12	démolition	démolition	EN	_
13	ou	ou	O	_
14	de	de	O	_
15	reprise	reprise	O	_
16	de	de	O	_
17	l’	l’	BO	_
18	ancien	ancien	IO	_
19	site	site	IO	_
20	industriel	industriel	EO	_
21	occupé	occuper	BN	_
22	par	par	O	_
23	HYDRO	HYDRO	IO	_
24	AGRI	AGRI	EO	_
25	FRANCE	FRANCE	EO	_
26	à	à	BL	_
27	Rogerville	Rogerville	EL	_
28	.	.	O	_


#Arrêté Préfectoral du 8 juin 1995 : suspension des travaux  de démantèlement de l’atelier phosphorique.
1	Arrêté	arrêté	BO	_
2	Préfectoral	préfectoral	EO	_
3	du	de	BT	_
4	8	8	IT	_
5	juin	juin	IT	_
6	1995	1995	ET	_
7	:	:	BN	_
8	suspension	suspension	IN	_
9	des	de	IN	_
10	travaux	travail	IN	_
11	 	 	IN	_
12	de	de	IN	_
13	démantèlement	démantèlement	EN	_
14	de	de	BO	_
15	l’	l’	BN	_
16	atelier	atelier	IN	_
17	phosphorique	phosphorique	EO	_
18	.	.	O	_


#Arrêté Préfectoral du 12 juin 1996 : fixant les conditions dans lesquelles devaient être effectuées les opérations de démantèlement de l’atelier de fabrication d’acide phosphorique.
1	Arrêté	arrêté	BO	_
2	Préfectoral	préfectoral	EO	_
3	du	de	BT	_
4	12	12	IT	_
5	juin	juin	IT	_
6	1996	1996	ET	_
7	:	:	O	_
8	fixant	fixer	BN	_
9	les	le	BO	_
10	conditions	condition	EO	_
11	dans	dans	EO	_
12	lesquelles	lequel	EO	_
13	devaient	devoir	IN	_
14	être	être	IN	_
15	effectuées	effectuer	EN	_
16	les	le	BN	_
17	opérations	opération	IN	_
18	de	de	IN	_
19	démantèlement	démantèlement	EN	_
20	de	de	O	_
21	l’	l’	BO	_
22	atelier	atelier	IO	_
23	de	de	IO	_
