
#92.0029
#Dépôt pétrolier situé en zone industrielle et en bordure de SEINE.
1	Dépôt	dépôt	BO	_
2	pétrolier	pétrolier	EO	_
3	situé	situer	BL	_
4	en	en	IL	_
5	zone	zone	IL	_
6	industrielle	industriel	IL	_
7	et	et	IL	_
8	en	en	IL	_
9	bordure	bordure	IL	_
10	de	de	IL	_
11	SEINE	SEINE	EL	_
12	.	.	O	_


#Cessation d'activité au 31/12/2013.
1	Cessation	cessation	BN	_
2	d'	de	IN	_
3	activité	activité	EN	_
4	au	au	BT	_
5	31/12/2013	31/12/2013	IT	_
6	.	.	ET	_


#Site soumis à l'article 65 de l'arrêté du 2 février 1998 concernant la surveillance des eaux souterraines.
1	Site	site	BO	_
2	soumis	soumettre	BL	_
3	à	à	IL	_
4	l'	le	O	_
5	article	article	O	_
6	65	65	O	_
7	de	de	O	_
8	l'	le	O	_
9	arrêté	arrêté	O	_
10	du	de	O	_
11	2	2	BT	_
12	février	février	IT	_
13	1998	1998	ET	_
14	concernant	concerner	O	_
15	la	le	O	_
16	surveillance	surveillance	BA	_
17	des	de	IA	_
18	eaux	eau	IA	_
19	souterraines	souterrain	EA	_
20	.	.	O	_


#En application de la circulaire du 03/04/1996, une Évaluation Simplifiée des Risques (ESR) a été imposée par arrêté préfectoral du 08/10/1998.
1	En	en	O	_
2	application	application	O	_
3	de	de	O	_
4	la	le	O	_
5	circulaire	circulaire	O	_
6	du	de	O	_
7	03/04/1996	03/04/1996	ET	_
8	,	,	BN	_
9	une	un	IN	_
10	Évaluation	évaluation	IN	_
11	Simplifiée	simplifier	IN	_
12	des	de	IN	_
13	Risques	risque	EN	_
14	(	(	O	_
15	ESR	esr	BN	_
16	)	)	IN	_
17	a	avoir	IN	_
18	été	être	IN	_
19	imposée	imposer	EN	_
20	par	par	BO	_
21	arrêté	arrêté	BO	_
22	préfectoral	préfectoral	EO	_
23	du	de	BT	_
24	08/10/1998	08/10/1998	ET	_
25	.	.	ET	_


#Une surveillance des eaux souterraines existe, imposée par l'arrêté préfectoral complémentaire du 20/01/2011.
1	Une	un	BA	_
2	surveillance	surveillance	IA	_
3	des	de	IA	_
4	eaux	eau	IA	_
5	souterraines	souterrain	EA	_
6	existe	existe	O	_
7	,	,	O	_
8	imposée	imposer	BN	_
9	par	par	ER	_
10	l'	le	BO	_
11	arrêté	arrêté	IO	_
12	préfectoral	préfectoral	IO	_
13	complémentaire	complémentaire	EO	_
14	du	de	O	_
15	20/01/2011	20/01/2011	ET	_
16	.	.	O	_


#L'ESR a montré :
1	L'	le	O	_
2	ESR	esr	O	_
3	a	avoir	O	_
4	montré	montrer	O	_
5	:	:	O	_


#- des dépassements de la VDSS (usage industriel) pour les hydrocarbures et BTEX dans les sols en certains points.
1	-	-	O	_
2	des	un	O	_
3	dépassements	dépassement	O	_
4	de	de	O	_
5	la	le	BO	_
6	VDSS	VDSS	EO	_
7	(	(	O	_
8	usage	usage	O	_
9	industriel	industriel	O	_
10	)	)	O	_
11	pour	pour	O	_
12	les	le	O	_
13	hydrocarbures	hydrocarbure	EO	_
14	et	et	O	_
15	BTEX	BTEX	O	_
16	dans	dans	O	_
17	les	le	O	_
18	sols	sol	O	_
19	en	en	O	_
20	certains	certain	O	_
21	points	point	O	_
22	.	.	O	_


#- des teneurs en hydrocarbures supérieures à la VCI usage sensible dans la nappe avec flottant en un point.
1	-	-	O	_
2	des	un	O	_
3	teneurs	teneur	O	_
4	en	en	O	_
5	hydrocarbures	hydrocarbure	BO	_
6	supérieures	supérieur	EO	_
7	à	à	O	_
8	la	le	O	_
9	VCI	VCI	O	_
10	usage	usage	O	_
11	sensible	sensible	O	_
12	dans	dans	O	_
13	la	le	O	_
14	nappe	nappe	O	_
15	avec	avec	O	_
16	flottant	flottant	O	_
17	en	en	O	_
18	un	un	O	_
19	point	point	O	_
20	.	.	O	_


#Pour ces raisons, le site a été placé en classe 2 (à surveiller).
1	Pour	pour	O	_
2	ces	ce	O	_
3	raisons	raison	O	_
4	,	,	O	_
5	le	le	BO	_
6	site	site	EO	_
7	a	avoir	BN	_
8	été	être	IN	_
9	placé	placer	IN	_
10	en	en	IN	_
11	classe	classe	IN	_
12	2	2	EO	_
13	(	(	O	_
14	à	à	O	_
15	surveiller	surveiller	O	_
16	)	)	O	_
17	.	.	O	_


#Par courrier du 17/07/2008 complété par courriel du 01/04/2009, l’exploitant a informé l'inspection de la détection de benzène dans le piézomètre 7 se trouvant en aval des tuyauteries enterrées en bordure Nord- du site et de la mise en service le 16/03/2009 d’une unité de confinement de la nappe dans la zone du piézomètre 7.
1	Par	par	O	_
2	courrier	courrier	O	_
3	du	de	O	_
4	17/07/2008	17/07/2008	IT	_
5	complété	compléter	BN	_
6	par	par	IN	_
7	courriel	courriel	EN	_
8	du	de	BT	_
9	01/04/2009	01/04/2009	IT	_
10	,	,	O	_
11	l’	l’	BO	_
12	exploitant	exploitant	EO	_
13	a	avoir	BN	_
14	informé	informer	EN	_
15	l'	le	BO	_
16	inspection	inspection	EO	_
17	de	de	O	_
18	la	le	O	_
19	détection	détection	O	_
20	de	de	O	_
21	benzène	benzène	O	_
22	dans	dans	O	_
23	le	le	BO	_
24	piézomètre	piézomètre	EO	_
25	7	7	O	_
26	se	se	BL	_
27	trouvant	trouver	IL	_
28	en	en	IL	_
29	aval	aval	IL	_
30	des	de	IL	_
31	tuyauteries	tuyauterie	IL	_
32	enterrées	enterrer	IL	_
33	en	en	IL	_
34	bordure	bordure	IL	_
35	Nord-	nord-	IL	_
36	du	de	IL	_
37	site	site	EL	_
38	et	et	O	_
39	de	de	O	_
40	la	le	BN	_
41	mise	mise	IN	_
42	en	en	IN	_
43	service	service	IN	_
44	le	le	BT	_
45	16/03/2009	16/03/2009	IT	_
46	d’	d’	BO	_
47	une	un	IO	_
48	unité	unité	IO	_
49	de	de	IO	_
50	confinement	confinement	EN	_
51	de	de	O	_
52	la	le	BO	_
53	nappe	nappe	EO	_
54	dans	dans	BL	_
55	la	le	IL	_
56	zone	zone	IL	_
57	du	de	IL	_
58	piézomètre	piézomètre	IL	_
59	7	7	EL	_
60	.	.	O	_


#La société SDPN a notifié par courrier du 02/08/2013 sa cessation d'activités au 31/12/2013.
1	La	le	BO	_
2	société	société	IO	_
3	SDPN	SDPN	EO	_
4	a	avoir	BN	_
5	notifié	notifier	IN	_
6	par	par	IN	_
7	courrier	courrier	EN	_
8	du	de	BT	_
9	02/08/2013	02/08/2013	IT	_
10	sa	son	BN	_
11	cessation	cessation	BN	_
12	d'	de	IN	_
13	activités	activité	EN	_
14	au	au	BT	_
15	31/12/2013	31/12/2013	IT	_
16	.	.	ET	_


#Les opérations de mise en sécurité du site se sont achevées le 01/04/2014 et ont été actées le 15/05/2014.
1	Les	le	BN	_
2	opérations	opération	IN	_
3	de	de	IN	_
4	mise	mise	IN	_
5	en	en	IN	_
6	sécurité	sécurité	EN	_
7	du	de	BO	_
8	site	site	EO	_
9	se	se	BN	_
10	sont	être	IN	_
11	achevées	achever	EN	_
12	le	le	BT	_
13	01/04/2014	01/04/2014	ET	_
14	et	et	O	_
15	ont	avoir	BN	_
16	été	être	IN	_
17	actées	acter	EN	_
18	le	le	BT	_
19	15/05/2014	15/05/2014	IT	_
20	.	.	ET	_


#Une société de gardiennage maintient sur le site une surveillance 24h/24.
1	Une	un	BO	_
2	société	société	EO	_
3	de	de	O	_
4	gardiennage	gardiennage	O	_
5	maintient	maintenir	O	_
6	sur	sur	O	_
7	le	le	O	_
8	site	site	O	_
9	une	un	O	_
10	surveillance	surveillance	O	_
11	24h/24	24h/24	O	_
12	.	.	O	_


#L'usage futur du site, déterminé conformément à l'article R.512-39-2 du code de l'environnement, est de type industriel ou tertiaire.
1	L'	le	BO	_
2	usage	usage	IO	_
3	futur	futur	IO	_
4	du	de	IO	_
5	site	site	EO	_
6	,	,	O	_
7	déterminé	déterminer	O	_
8	conformément	conformément	O	_
9	à	à	O	_
10	l'	le	O	_
11	article	article	O	_
12	R.512	r.512	O	_
13	-	-	O	_
14	39	39	O	_
15	-	-	O	_
16	2	2	O	_
17	du	de	O	_
18	code	code	O	_
19	de	de	O	_
20	l'	le	O	_
21	environnement	environnement	O	_
22	,	,	O	_
23	est	être	O	_
24	de	de	O	_
25	type	type	O	_
26	industriel	industriel	O	_
27	ou	ou	O	_
28	tertiaire	tertiaire	O	_
29	.	.	O	_


#Les travaux de démolition du site et de démantèlement des installations pétrolières se sont déroulés en 2016.
1	Les	le	BN	_
2	travaux	travail	IN	_
3	de	de	IN	_
4	démolition	démolition	EN	_
5	du	de	IN	_
6	site	site	EN	_
7	et	et	O	_
8	de	de	BN	_
9	démantèlement	démantèlement	BN	_
10	des	de	IN	_
11	installations	installation	IN	_
12	pétrolières	pétrolier	EN	_
13	se	se	BN	_
14	sont	être	IN	_
15	déroulés	dérouler	EN	_
16	en	en	BT	_
17	2016	2016	ET	_
18	.	.	ET	_


#Des investigations et des études environnementales seront réalisées de juin à décembre 2016.
1	Des	un	BN	_
2	investigations	investigation	EN	_
3	et	et	O	_
4	des	un	BN	_
5	études	étude	IN	_
6	environnementales	environnemental	EN	_
7	seront	être	BN	_
8	réalisées	réaliser	EN	_
9	de	de	BT	_
10	juin	juin	IT	_
11	à	à	IT	_
12	décembre	décembre	IT	_
13	2016	2016	ET	_
14	.	.	ET	_


