
#59.0095
#Site ayant été occupé par les houillères du bassin NPC, ayant des activités de réparation de locomotives et de wagons jusque mai 91.
1	Site	site	BO	_
2	ayant	avoir	BN	_
3	été	être	IN	_
4	occupé	occuper	EN	_
5	par	par	O	_
6	les	le	BO	_
7	houillères	houillère	EA	_
8	du	de	ER	_
9	bassin	bassin	BO	_
10	NPC	NPC	EO	_
11	,	,	O	_
12	ayant	avoir	BA	_
13	des	un	BA	_
14	activités	activité	BA	_
15	de	de	IA	_
16	réparation	réparation	IA	_
17	de	de	IA	_
18	locomotives	locomotive	IA	_
19	et	et	IA	_
20	de	de	IA	_
21	wagons	wagon	IA	_
22	jusque	jusque	BT	_
23	mai	mai	IT	_
24	91	91	ET	_
25	.	.	O	_


#La société Coenmans a acheté les terrains et s'est installée pour développer la récupération et le commerce de métaux ferreux et non ferreux, sur 1 surface de 1,5 ha.
1	La	le	BO	_
2	société	société	IO	_
3	Coenmans	Coenmans	EO	_
4	a	avoir	BN	_
5	acheté	acheter	EN	_
6	les	le	BO	_
7	terrains	terrain	EO	_
8	et	et	O	_
9	s'	se	BN	_
10	est	être	IN	_
11	installée	installer	EN	_
12	pour	pour	O	_
13	développer	développer	BA	_
14	la	le	IA	_
15	récupération	récupération	IA	_
16	et	et	IA	_
17	le	le	IA	_
18	commerce	commerce	IA	_
19	de	de	IA	_
20	métaux	métal	IA	_
21	ferreux	ferreux	IA	_
22	et	et	IA	_
23	non	non	IA	_
24	ferreux	ferreux	EA	_
25	,	,	O	_
26	sur	sur	O	_
27	1	1	O	_
28	surface	surface	O	_
29	de	de	O	_
30	1,5	1,5	BO	_
31	ha	ha	EO	_
32	.	.	O	_


#La société a cessé ses activités en septembre 94 sans avoir jamais obtenu d'autorisation auparavant.
1	La	le	BO	_
2	société	société	EO	_
3	a	avoir	BN	_
4	cessé	cesser	IN	_
5	ses	son	IN	_
6	activités	activité	EN	_
7	en	en	BT	_
8	septembre	septembre	IT	_
9	94	94	ET	_
10	sans	sans	BR	_
11	avoir	avoir	BN	_
12	jamais	jamais	IN	_
13	obtenu	obtenir	IR	_
14	d'	d'	IR	_
15	autorisation	autorisation	IR	_
16	auparavant	auparavant	O	_
17	.	.	O	_


#Ses activités principales ont été: location de grues, chantier de démolition industriel, récupération de métaux.
1	Ses	son	BO	_
2	activités	activité	EO	_
3	principales	principal	O	_
4	ont	avoir	O	_
5	été	être	O	_
6	:	:	O	_
7	location	location	BN	_
8	de	de	IN	_
9	grues	grue	EN	_
10	,	,	O	_
11	chantier	chantier	BO	_
12	de	de	IO	_
13	démolition	démolition	IO	_
14	industriel	industriel	EO	_
15	,	,	O	_
16	récupération	récupération	BA	_
17	de	de	IA	_
18	métaux	métal	EA	_
19	.	.	O	_


#Le site est délimité par des entreprises au Nord et à l'Ouest, habitations à l'Est et par mes rues des frères Faches et Louis Delforge au Sud.
1	Le	le	BO	_
2	site	site	EO	_
3	est	être	BR	_
4	délimité	délimiter	BR	_
5	par	par	ER	_
6	des	un	BO	_
7	entreprises	entreprise	EO	_
8	au	au	IL	_
9	Nord	nord	IL	_
10	et	et	IL	_
11	à	à	IL	_
12	l'	le	IT	_
13	Ouest	ouest	EO	_
14	,	,	O	_
15	habitations	habitation	BO	_
16	à	à	IL	_
17	l'	le	IL	_
18	Est	est	EL	_
19	et	et	O	_
20	par	par	O	_
21	mes	mon	BO	_
22	rues	rue	O	_
23	des	de	O	_
24	frères	frère	BO	_
25	Faches	Faches	EO	_
26	et	et	O	_
27	Louis	Louis	BL	_
28	Delforge	Delforge	EO	_
29	au	au	O	_
30	Sud	sud	O	_
31	.	.	O	_


#Sols pollués par les métaux et les hydrocarbures.
1	Sols	sol	O	_
2	pollués	polluer	O	_
3	par	par	O	_
4	les	le	O	_
5	métaux	métal	O	_
6	et	et	O	_
7	les	le	O	_
8	hydrocarbures	hydrocarbure	O	_
9	.	.	O	_


#- Suspension d'activités prononcée en 1994.
