
#974.0013
#Ensemble enterré de 2 pipe-lines (fuel domestique et fuel lourd) reliant les postes de déchargement des pétroliers au dépôt d'hydrocarbures de la société SRE.
1	Ensemble	ensemble	BO	_
2	enterré	enterrer	BN	_
3	de	de	IN	_
4	2	2	BO	_
5	pipe	pipe	EO	_
6	-	-	EO	_
7	lines	line	EO	_
8	(	(	O	_
9	fuel	fuel	O	_
10	domestique	domestique	O	_
11	et	et	O	_
12	fuel	fuel	O	_
13	lourd	lourd	O	_
14	)	)	O	_
15	reliant	relier	O	_
16	les	le	BO	_
17	postes	poste	IO	_
18	de	de	IO	_
19	déchargement	déchargement	IO	_
20	des	de	IA	_
21	pétroliers	pétrolier	EA	_
22	au	au	ER	_
23	dépôt	dépôt	BO	_
24	d'	de	IO	_
25	hydrocarbures	hydrocarbure	EO	_
26	de	de	O	_
27	la	le	BO	_
28	société	société	IO	_
29	SRE	SRE	EO	_
30	.	.	O	_


#Le 3 mars 2001 la société SRE a découvert une fuite sur le pipe-line fuel lourd lors du déchargement d'un pétrolier.
1	Le	le	BT	_
2	3	3	IT	_
3	mars	mars	IT	_
4	2001	2001	ET	_
5	la	le	BO	_
6	société	société	IO	_
7	SRE	SRE	EO	_
8	a	avoir	BN	_
9	découvert	découvrir	EN	_
10	une	un	BO	_
11	fuite	fuite	EO	_
12	sur	sur	O	_
13	le	le	BO	_
14	pipe	pipe	IO	_
15	-	-	IO	_
16	line	line	IO	_
17	fuel	fuel	IO	_
18	lourd	lourd	EO	_
19	lors	lors	BR	_
20	du	de	IL	_
21	déchargement	déchargement	IL	_
22	d'	de	IL	_
23	un	un	IL	_
24	pétrolier	pétrolier	EL	_
25	.	.	O	_


#A la demande de la DRIRE, des investigations ont été menées par la société SRE pour déterminer le lieu et l'origine de la fuite constatée.
1	A	à	BR	_
2	la	le	IR	_
3	demande	demande	IR	_
4	de	de	ER	_
5	la	le	BO	_
6	DRIRE	DRIRE	EO	_
7	,	,	O	_
8	des	un	BN	_
9	investigations	investigation	EN	_
10	ont	avoir	BN	_
11	été	être	IN	_
12	menées	mener	EN	_
13	par	par	O	_
14	la	le	BO	_
15	société	société	IO	_
16	SRE	SRE	EO	_
17	pour	pour	O	_
18	déterminer	déterminer	O	_
19	le	le	BO	_
20	lieu	lieu	EO	_
21	et	et	O	_
22	l'	le	O	_
23	origine	origine	O	_
24	de	de	O	_
25	la	le	O	_
26	fuite	fuite	O	_
27	constatée	constater	O	_
28	.	.	O	_


#Ceci a conduit la DRIRE à proposer au Préfet de prescrire à la société SRE la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	Ceci	ceci	O	_
2	a	avoir	O	_
3	conduit	conduire	O	_
