
#42.0143
#Avant 1965, le site était une parcelle agricole.
1	Avant	avant	BT	_
2	1965	1965	ET	_
3	,	,	O	_
4	le	le	BO	_
5	site	site	EO	_
6	était	être	O	_
7	une	un	BO	_
8	parcelle	parcelle	IO	_
9	agricole	agricole	EO	_
10	.	.	O	_


#En 1970, les bâtiments du centre commercial apparaissent sur les photos aériennes et à partir de 1979, les bâtiments et la station-service apparaissent tels qu’en 2007 sur les photos aériennes.
1	En	en	BT	_
2	1970	1970	ET	_
3	,	,	ET	_
4	les	le	BO	_
5	bâtiments	bâtiment	EO	_
6	du	de	O	_
7	centre	centre	O	_
8	commercial	commercial	O	_
9	apparaissent	apparaître	O	_
10	sur	sur	O	_
11	les	le	O	_
12	photos	photo	BO	_
13	aériennes	aérien	EO	_
14	et	et	O	_
15	à	à	BT	_
16	partir	partir	IT	_
17	de	de	IT	_
18	1979	1979	ET	_
19	,	,	O	_
20	les	le	BO	_
21	bâtiments	bâtiment	EO	_
22	et	et	O	_
23	la	le	O	_
24	station	station	O	_
25	-	-	O	_
26	service	service	O	_
27	apparaissent	apparaître	O	_
28	tels	tel	O	_
29	qu’	qu’	O	_
30	en	en	BT	_
31	2007	2007	IT	_
32	sur	sur	O	_
33	les	le	O	_
34	photos	photo	O	_
35	aériennes	aérien	O	_
36	.	.	O	_


#*Contexte géologique :
1	*	*	O	_
2	Contexte	contexte	O	_
3	géologique	géologique	O	_
4	 	 	O	_
5	:	:	O	_


#Le site repose sur les terrains suivants :
1	Le	le	BO	_
2	site	site	EO	_
3	repose	repose	O	_
4	sur	sur	O	_
5	les	le	O	_
6	terrains	terrain	O	_
7	suivants	suivant	O	_
8	 	 	O	_
9	:	:	O	_


#- de 0 à 1 m : remblais sableux,
1	-	-	O	_
2	de	de	O	_
3	0	0	O	_
4	à	à	O	_
5	1	1	O	_
6	m	m	O	_
7	 	 	O	_
8	:	:	O	_
9	remblais	remblai	O	_
10	sableux	sableux	O	_
11	,	,	O	_


#- de 1 m à 2 m : argile sableuse accompagnée de graviers,
1	-	-	O	_
2	de	de	O	_
3	1	1	O	_
4	m	m	O	_
5	à	à	O	_
